,Unnamed: 0,level,power,date
0,0,24,172.5,2023-05-26
1,1,28,288.5,2023-05-26
2,2,25,207.5,2023-05-26
3,3,26,249.1,2023-05-26
4,4,26,210.8,2023-05-26
5,5,28,280.7,2023-05-26
6,6,25,216.3,2023-05-26
7,7,24,194.5,2023-05-26
8,8,24,137.8,2023-05-26
9,9,25,173.3,2023-05-26
10,10,22,140.5,2023-05-26
11,11,25,170.2,2023-05-26
12,12,22,162.4,2023-05-26
13,13,26,201.6,2023-05-26
14,14,26,213.2,2023-05-26
15,15,25,186.5,2023-05-26
16,16,23,146.9,2023-05-26
17,17,22,107.6,2023-05-26
18,18,24,174.3,2023-05-26
19,19,24,151.2,2023-05-26
20,20,25,199.6,2023-05-26
21,21,24,161.8,2023-05-26
22,22,24,151.1,2023-05-26
23,23,22,146.6,2023-05-26
24,24,25,192.5,2023-05-26
25,25,24,200.4,2023-05-26
26,26,25,211.6,2023-05-26
27,27,24,169.1,2023-05-26
28,28,23,141.9,2023-05-26
29,29,23,133.4,2023-05-26
30,30,25,204.9,2023-05-26
31,31,25,214.6,2023-05-26
32,32,22,115.1,2023-05-26
33,33,25,188.2,2023-05-26
34,34,24,166.0,2023-05-26
35,35,23,148.1,2023-05-26
36,36,25,187.3,2023-05-26
37,37,21,126.2,2023-05-26
38,38,24,157.2,2023-05-26
39,39,27,248.4,2023-05-26
40,40,23,172.2,2023-05-26
41,41,19,75.9,2023-05-26
42,42,23,99.8,2023-05-26
43,43,25,221.2,2023-05-26
44,44,22,153.8,2023-05-26
45,45,22,147.7,2023-05-26
46,46,22,88.8,2023-05-26
47,47,21,129.5,2023-05-26
48,48,20,122.5,2023-05-26
