,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,29,387.3,2023-05-26
1,1,1,1,1,28,333.0,2023-05-26
2,2,2,2,2,28,368.2,2023-05-26
3,3,3,3,3,25,191.9,2023-05-26
4,4,4,4,4,28,354.2,2023-05-26
5,5,5,5,5,26,235.6,2023-05-26
6,6,6,6,6,26,205.0,2023-05-26
7,7,7,7,7,25,186.9,2023-05-26
8,8,8,8,8,24,213.8,2023-05-26
9,9,9,9,9,24,165.6,2023-05-26
10,10,10,10,10,23,154.6,2023-05-26
11,11,11,11,11,26,206.5,2023-05-26
12,12,12,12,12,26,209.8,2023-05-26
13,13,13,13,13,25,196.7,2023-05-26
14,14,14,14,14,21,166.0,2023-05-26
15,15,15,15,15,27,261.1,2023-05-26
16,16,16,16,16,29,284.9,2023-05-26
17,17,17,17,17,27,302.1,2023-05-26
18,18,18,18,18,27,323.4,2023-05-26
19,19,19,19,19,24,184.1,2023-05-26
20,20,20,20,20,26,228.2,2023-05-26
21,21,21,21,21,27,314.4,2023-05-26
22,22,22,22,22,23,136.6,2023-05-26
23,23,23,23,23,23,137.1,2023-05-26
24,24,24,24,24,25,180.3,2023-05-26
25,25,25,25,25,24,167.9,2023-05-26
26,26,26,26,26,25,170.5,2023-05-26
27,27,27,27,27,27,245.7,2023-05-26
28,28,28,28,28,25,233.1,2023-05-26
29,29,29,29,29,27,247.6,2023-05-26
30,30,30,30,30,27,212.7,2023-05-26
31,31,31,31,31,27,263.1,2023-05-26
32,32,32,32,32,24,149.7,2023-05-26
33,33,33,33,33,25,216.8,2023-05-26
34,34,34,34,34,25,190.1,2023-05-26
35,35,35,35,35,25,206.8,2023-05-26
36,36,36,36,36,23,182.7,2023-05-26
37,37,37,37,37,24,196.0,2023-05-26
38,38,38,38,38,24,194.4,2023-05-26
39,39,39,39,39,25,191.5,2023-05-26
40,40,40,40,40,23,132.9,2023-05-26
41,41,41,41,41,26,207.2,2023-05-26
42,42,42,42,42,26,232.6,2023-05-26
43,43,43,43,43,25,171.2,2023-05-26
44,44,44,44,44,25,183.9,2023-05-26
45,45,45,45,45,26,234.0,2023-05-26
46,46,46,46,46,25,205.8,2023-05-26
47,47,47,47,47,26,203.8,2023-05-26
48,48,48,48,48,25,184.7,2023-05-26
49,49,49,49,49,26,220.7,2023-05-26
50,50,50,50,50,26,286.5,2023-05-26
51,51,51,51,51,23,154.8,2023-05-26
52,52,52,52,52,23,147.8,2023-05-26
53,53,53,53,53,26,216.3,2023-05-26
54,54,54,54,54,24,184.7,2023-05-26
55,55,55,55,55,24,195.8,2023-05-26
56,56,56,56,56,25,190.4,2023-05-26
57,57,57,57,57,24,172.2,2023-05-26
58,58,58,58,58,24,170.0,2023-05-26
59,59,59,59,59,25,179.7,2023-05-26
60,60,60,60,60,26,203.1,2023-05-26
61,61,61,61,61,25,217.1,2023-05-26
62,62,62,62,62,26,200.7,2023-05-26
63,63,63,63,63,21,103.0,2023-05-26
64,64,64,64,64,24,173.6,2023-05-26
65,65,65,65,65,23,140.8,2023-05-26
