,Server,Name,First,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point,Similarity
0,S2,かるだの,,28900,True,S17,赤兎馬,28900,2
1,S11,しす派,,31100,True,S19,絆2,31100,0
2,S10,威風堂々,,28900,True,S33,九州探題,28900,2
3,S7,風林火山,,31100,True,S1,sakura,31100,2
4,S19,絆2,,31100,False,S11,しす派,31100,0
5,S27,百鬼夜行鳳凰,,28900,False,S31,金色の皇翼,28900,2
6,S13,孤軍奮闘,,31100,True,S8,おつかべ同盟,31100,2
7,S33,九州探題,,28900,False,S10,威風堂々,28900,2
8,S4,涼風一陣,,31100,True,S6,鬼ヶ島,31100,0
9,S11,土佐の山間,,28900,False,S44,毎日が本能寺,29100,2
10,S6,鬼ヶ島,,31100,False,S4,涼風一陣,31100,0
11,S17,赤兎馬,,28900,False,S2,かるだの,28900,2
12,S8,おつかべ同盟,,31100,False,S13,孤軍奮闘,31100,2
13,S31,金色の皇翼,1.0,28900,True,S27,百鬼夜行鳳凰,28900,2
14,S1,sakura,,31100,False,S7,風林火山,31100,2
15,S15,一網打尽,,28900,True,S35,暁,29100,2
16,S9,傾奇者,,30600,False,S3,姫桜,30600,2
17,S3,円山動物園,,28400,True,S6,里見八犬伝,28437,2
18,S1,風の如く,,28400,True,S15,覇将府,28400,2
19,S25,鷹の団,,30600,False,S4,如水,30563,2
20,S23,和敬静寂,,30600,False,S1,ショッカー,30539,2
21,S9,傾奇者皇,,28400,True,S25,勝鬨で候,28400,2
22,S8,九州同盟,,28400,False,S5,奇兵隊,28461,2
23,S3,姫桜,,30600,True,S9,傾奇者,30600,2
24,S15,覇将府,,28400,False,S1,風の如く,28400,0
25,S11,風林火山,,30600,False,S21,新日薙帝國,30600,0
26,S1,ショッカー,,30539,True,S23,和敬静寂,30600,2
27,S5,奇兵隊,,28461,True,S8,九州同盟,28400,2
28,S4,如水,,30563,True,S25,鷹の団,30600,2
29,S6,里見八犬伝,,28437,False,S3,円山動物園,28400,2
30,S25,勝鬨で候,,28400,False,S9,傾奇者皇,28400,2
31,S21,新日薙帝國,,30600,True,S11,風林火山,30600,2
32,S10,魔苦土那瑠怒,,27900,False,S3,紅蓮の刃,27900,2
33,S7,合肥,,30100,False,S33,最後の晩餐,30100,2
34,S33,最後の晩餐,,30100,True,S7,合肥,30100,2
35,S27,戦国の花,,27900,True,S6,化楽天,28100,2
36,S8,大日本帝國,,27900,True,S2,天下蒼生,28100,2
37,S4,太陽の子,,30100,False,S5,たけのこの里,29600,2
38,S23,美酒佳肴,1.0,27900,True,S38,爆弾一味,28100,2
39,S15,紀伊,1.0,30100,True,S25,桜花乱舞,30033,2
40,S25,桜花乱舞,,30033,False,S15,紀伊,30100,2
41,S35,おもち,,27967,True,S25,風神雷神,28100,2
42,S7,安芸諸国連合,,27900,True,S10,死兆星,28100,2
43,S15,天下一品,,30100,False,S13,明鏡止水,29600,2
44,S17,TITANS,,30100,False,S41,桃源郷,30100,2
45,S21,幸運の大桜,,27900,True,S5,源氏一族2部,28100,2
46,S3,紅蓮の刃,,27900,True,S10,魔苦土那瑠怒,27900,2
47,S41,桃源郷,1.0,30100,True,S17,TITANS,30100,2
48,S27,ひよこ隊,1.0,27400,True,S10,千本桜零鬼,27600,0
49,S23,神乃一族,,29600,True,S9,FM807,29600,2
50,S25,天上天下,,29600,True,S19,鬼島津,29600,2
51,S25,漢隊,,27400,False,S37,疾風迅雷,27400,2
52,S19,鬼島津,,29600,False,S25,天上天下,29600,2
53,S23,鬼神,,27400,False,S17,九州天皇會,27600,2
54,S13,明鏡止水,,29600,True,S15,天下一品,30100,2
55,S1,炎上軍,,27400,False,S15,ぺろり一門,27400,2
56,S9,FM807,,29600,False,S23,神乃一族,29600,2
57,S19,乙女桔梗,,27400,True,S29,楽華隊,27600,2
58,S37,疾風迅雷,,27400,True,S25,漢隊,27400,2
59,S5,たけのこの里,1.0,29600,True,S4,太陽の子,30100,2
60,S15,ぺろり一門,1.0,27400,True,S1,炎上軍,27400,0
61,S9,武装農民,,29600,False,S43,殺罰,29600,2
62,S25,倭寇,,27400,True,S10,八咫烏,27600,0
63,S43,殺罰,1.0,29600,True,S9,武装農民,29600,2
64,S29,九州総統連合,,26900,False,S29,秦国,26900,2
65,S7,天下人,1.0,29100,False,S11,RTC,29100,2
66,S33,武田家,,29100,False,S29,閻魔,29100,2
67,S3,夜桜,,26900,False,S9,月下翼松,26900,2
68,S11,RTC,1.0,29100,True,S7,天下人,29100,2
69,S8,和気藹々,,26900,True,S10,一人旅,26900,2
70,S3,成田長親,,26900,False,S13,四国連合,27100,2
71,S8,鎌倉幕府,,29100,True,S31,ゼロ魔,29100,2
72,S29,秦国,,26900,True,S29,九州総統連合,26900,2
73,S31,ゼロ魔,1.0,29100,False,S8,鎌倉幕府,29100,2
74,S35,暁,,29100,False,S15,一網打尽,28900,2
75,S10,一人旅,,26900,False,S8,和気藹々,26900,2
76,S9,月下翼松,,26900,True,S3,夜桜,26900,2
77,S29,閻魔,,29100,True,S33,武田家,29100,0
78,S31,義風堂々,,26900,False,S21,蟹江警備隊,27100,2
79,S44,毎日が本能寺,,29100,True,S11,土佐の山間,28900,2
80,S13,曉風南薫,1.0,28600,True,S23,24鯖代表,28600,2
81,S35,ZOO,1.0,26400,True,S19,華,26600,2
82,S27,不倶戴天,,28600,True,S37,威風凛々,28550,2
83,S37,武尊会,,26400,False,S35,太閤立志伝,26400,2
84,S19,遊嬉宴楽,,26400,False,S6,軍神,26600,2
85,S17,極楽浄土,,28600,False,S35,太郎丸,28600,2
86,S35,パイパニック,1.0,28600,False,S46,紅龍,28600,2
87,S2,エゴイスト,,26400,False,S19,乱舞,26600,2
88,S35,太郎丸,,28600,True,S17,極楽浄土,28600,2
89,S35,太閤立志伝,1.0,26400,True,S37,武尊会,26400,2
90,S9,魔の巣,,26450,False,S15,雅,26600,0
91,S37,威風凛々,,28550,False,S27,不倶戴天,28600,2
92,S29,xxx,1.0,26400,True,S13,念仏喫茶,26400,2
93,S46,紅龍,1.0,28600,True,S35,パイパニック,28600,2
94,S23,24鯖代表,,28600,False,S13,曉風南薫,28600,2
95,S13,念仏喫茶,,26400,False,S29,xxx,26400,2
96,S23,摩利支天,1.0,28100,True,S29,アナハイム,28100,2
97,S8,羅針盤,,25900,True,S10,武装戦線,25400,2
98,S38,爆弾一味,,28100,False,S23,美酒佳肴,27900,2
99,S35,光風霽月,,25900,True,S5,臥龍戴天,25900,2
100,S40,龍谷山,,25900,True,S5,白虎隊,25900,2
101,S10,死兆星,1.0,28100,False,S7,安芸諸国連合,27900,2
102,S5,白虎隊,,25900,False,S40,龍谷山,25900,2
103,S2,天下蒼生,,28100,False,S8,大日本帝國,27900,2
104,S6,化楽天,,28100,False,S27,戦国の花,27900,2
