Unnamed: 0,Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
149,S2,新時代,25500,False,S15,雅,26600
150,S1,毘沙門天,24500,-1,S4,百万一心,24900
151,S6,軍神,27700,False,S27,百鬼夜行鳳凰,28900
152,S4,毘沙門天,22200,-1,S21,ゆる〜く,23800
153,S19,乱舞,25500,False,S7,続、不協和音,26600
154,S1,すき焼き同盟,21100,False,S4,Z旅団,22900
155,S15,天真爛漫,27700,False,S17,チョコ,28800
156,S13,自由の翼,23400,True,S8,システマ,22300
157,S15,雅,27700,True,S2,新時代,26600
158,S8,システマ,21200,False,S13,自由の翼,22300
159,S19,華,25423,False,S25,勝鬨で候,26200
