Unnamed: 0,Server,Name,First,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point,Similarity
61,S9,武装農民,,28500,False,S43,殺罰,29600,2
62,S25,倭寇,,28500,True,S10,八咫烏,27600,0
63,S43,殺罰,1.0,30700,True,S9,武装農民,29600,2
64,S29,九州総統連合,,25800,False,S29,秦国,26900,2
65,S7,天下人,1.0,28000,False,S11,RTC,29100,2
66,S33,武田家,,28000,False,S29,閻魔,29100,2
67,S3,夜桜,,25800,False,S9,月下翼松,26900,2
68,S11,RTC,1.0,30200,True,S7,天下人,29100,2
69,S8,和気藹々,,28000,True,S10,一人旅,26900,2
70,S3,成田長親,,25800,False,S13,四国連合,27100,2
71,S8,鎌倉幕府,,30200,True,S31,ゼロ魔,29100,2
72,S29,秦国,,28000,True,S29,九州総統連合,26900,2
73,S31,ゼロ魔,1.0,28000,False,S8,鎌倉幕府,29100,2
74,S35,暁,,28000,False,S15,一網打尽,28900,2
75,S10,一人旅,,25800,False,S8,和気藹々,26900,2
76,S9,月下翼松,,28000,True,S3,夜桜,26900,2
77,S29,閻魔,,30200,True,S33,武田家,29100,0
78,S31,義風堂々,,25800,False,S21,蟹江警備隊,27100,2
79,S44,毎日が本能寺,,30200,True,S11,土佐の山間,28900,2
80,S13,曉風南薫,1.0,29700,True,S23,24鯖代表,28600,2
81,S35,ZOO,1.0,27500,True,S19,華,26600,2
82,S27,不倶戴天,,29700,True,S37,威風凛々,28550,2
83,S37,武尊会,,25300,False,S35,太閤立志伝,26400,2
84,S19,遊嬉宴楽,,25300,False,S6,軍神,26600,2
85,S17,極楽浄土,,27500,False,S35,太郎丸,28600,2
86,S35,パイパニック,1.0,27500,False,S46,紅龍,28600,2
87,S2,エゴイスト,,25300,False,S19,乱舞,26600,2
88,S35,太郎丸,,29700,True,S17,極楽浄土,28600,2
89,S35,太閤立志伝,1.0,27500,True,S37,武尊会,26400,2
90,S9,魔の巣,,25350,False,S15,雅,26600,0
91,S37,威風凛々,,27450,False,S27,不倶戴天,28600,2
92,S29,xxx,1.0,27500,True,S13,念仏喫茶,26400,2
93,S46,紅龍,1.0,29700,True,S35,パイパニック,28600,2
94,S23,24鯖代表,,27500,False,S13,曉風南薫,28600,2
95,S13,念仏喫茶,,25300,False,S29,xxx,26400,2
96,S23,摩利支天,1.0,29200,True,S29,アナハイム,28100,2
97,S8,羅針盤,,27000,True,S10,武装戦線,25400,2
98,S38,爆弾一味,,27000,False,S23,美酒佳肴,27900,2
99,S35,光風霽月,,27000,True,S5,臥龍戴天,25900,2
100,S40,龍谷山,,27000,True,S5,白虎隊,25900,2
101,S10,死兆星,1.0,27000,False,S7,安芸諸国連合,27900,2
102,S5,白虎隊,,24800,False,S40,龍谷山,25900,2
103,S2,天下蒼生,,27000,False,S8,大日本帝國,27900,2
104,S6,化楽天,,27000,False,S27,戦国の花,27900,2
105,S4,多趣味の暇人,,27000,True,S21,ゆる〜く,25900,2
106,S29,アナハイム,1.0,27000,False,S23,摩利支天,28100,2
107,S27,遊楽庵,,27000,True,S31,新天地の酔蓮,25400,2
108,S5,臥龍戴天,,24800,False,S35,光風霽月,25900,2
109,S25,風神雷神,,27000,False,S35,おもち,27967,2
110,S21,ゆる〜く,,24800,False,S4,多趣味の暇人,25900,2
111,S5,源氏一族2部,,27000,False,S21,幸運の大桜,27900,2
112,S27,酔いどれ屋w,,26500,True,S37,ヒゲガール,25400,2
113,S40,瑞巌寺,1.0,28700,True,S8,アルナ軍,27600,2
114,S3,神算鬼謀,,24300,False,S21,花火百景,25471,2
115,S10,八咫烏,,26500,False,S25,倭寇,27400,0
116,S37,ヒゲガール,1.0,24300,False,S27,酔いどれ屋w,25400,2
117,S10,千本桜零鬼,,26500,False,S27,ひよこ隊,27400,2
118,S7,鸞翔鳳集,,26500,True,S11,関東ニャン組,25400,2
119,S17,九州天皇會,,28700,True,S23,鬼神,27400,2
120,S31,愛一,1.0,26500,False,S7,ひだまりの里,27529,2
121,S31,新天地の酔蓮,1.0,24300,False,S27,遊楽庵,25900,2
122,S29,楽華隊,,26500,False,S19,乙女桔梗,27400,2
123,S11,関東ニャン組,,24300,False,S7,鸞翔鳳集,25400,2
124,S21,花火百景,,26571,True,S3,神算鬼謀,25400,2
125,S7,ひだまりの里,,28629,True,S31,愛一,27600,2
126,S10,武装戦線,,24300,False,S8,羅針盤,25900,2
127,S8,アルナ軍,,26500,False,S40,瑞巌寺,27600,2
128,S13,四国連合,,28200,True,S3,成田長親,26900,2
129,S4,Z旅団,,24900,-1,S1,毘沙門天,24400,2
130,S13,満足同盟,,26000,False,S13,楽園,27100,2
131,S3,鬼兵隊,,26000,True,S4,毘沙門天,24400,2
132,S4,百万一心,,26000,False,S41,下克上,27100,2
133,S6,創造主,,23800,False,S17,RAVENS,24900,2
134,S13,楽園,,28200,True,S13,満足同盟,27100,2
135,S27,倭国,,26000,True,S8,天地不焦肆国,24900,0
136,S41,下克上,1.0,28200,True,S4,百万一心,27100,2
137,S17,薔薇園,,26000,True,S6,黄昏の旅団,24900,0
138,S19,狂猫,1.0,28200,True,S27,ネオ・ジオン,27100,2
139,S6,黄昏の旅団,,23800,False,S17,薔薇園,24900,0
140,S27,ネオ・ジオン,1.0,26000,False,S19,狂猫,27100,2
141,S17,RAVENS,,26000,True,S6,創造主,24900,2
142,S8,天地不焦肆国,,23800,False,S27,倭国,24900,0
143,S21,蟹江警備隊,,28200,True,S31,義風堂々,26900,2
144,S17,チョコ,1.0,27700,True,S2,新時代,26600,2
145,S7,続、不協和音,,25500,True,S1,すき焼き同盟,24400,2
146,S17,乱れ雪月花,1.0,25500,False,S15,天真爛漫,26600,2
147,S17,BASARA,,25500,True,S21,九州酔狂連,24400,2
148,S21,九州酔狂連,1.0,23300,False,S17,BASARA,24400,2
149,S2,新時代,1.0,25500,False,S17,チョコ,26600,2
150,S1,毘沙門天,1.0,24400,-1,S4,Z旅団,24900,2
151,S6,軍神,1.0,27700,True,S19,遊嬉宴楽,26400,2
152,S4,毘沙門天,,23300,False,S3,鬼兵隊,24900,2
153,S19,乱舞,,27700,True,S2,エゴイスト,26400,2
154,S1,すき焼き同盟,,23300,False,S7,続、不協和音,24400,2
155,S15,天真爛漫,1.0,27700,True,S17,乱れ雪月花,26600,0
156,S13,自由の翼,,24400,-1,S8,システマ,24400,2
157,S15,雅,1.0,27700,True,S9,魔の巣,26450,0
158,S8,システマ,,24400,-1,S13,自由の翼,24400,2
159,S19,華,,25500,False,S35,ZOO,26400,2
