,Server,Name,First,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point,Similarity
0,S2,かるだの,,30000,False,S11,しす派,30000,0
1,S11,しす派,,30000,True,S2,かるだの,30000,0
2,S10,威風堂々,,30000,False,S7,風林火山,30000,0
3,S7,風林火山,,30000,True,S10,威風堂々,30000,0
4,S19,絆2,,30000,True,S27,百鬼夜行鳳凰,30000,2
5,S27,百鬼夜行鳳凰,,30000,False,S19,絆2,30000,2
6,S13,孤軍奮闘,,30000,True,S33,九州探題,30000,2
7,S33,九州探題,,30000,False,S13,孤軍奮闘,30000,2
8,S4,涼風一陣,,30000,True,S11,土佐の山間,30000,2
9,S11,土佐の山間,,30000,False,S4,涼風一陣,30000,2
10,S6,鬼ヶ島,,30000,True,S17,赤兎馬,30000,2
11,S17,赤兎馬,,30000,False,S6,鬼ヶ島,30000,2
12,S8,おつかべ同盟,,30000,True,S31,金色の皇翼,30000,2
13,S31,金色の皇翼,1.0,30000,False,S8,おつかべ同盟,30000,2
14,S1,sakura,,30000,True,S15,一網打尽,30000,2
15,S15,一網打尽,,30000,False,S1,sakura,30000,2
16,S9,傾奇者,,29500,True,S3,円山動物園,29500,2
17,S3,円山動物園,,29500,False,S9,傾奇者,29500,2
18,S1,風の如く,,29500,False,S25,鷹の団,29500,2
19,S25,鷹の団,,29500,True,S1,風の如く,29500,2
20,S23,和敬静寂,,29500,True,S9,傾奇者皇,29500,2
21,S9,傾奇者皇,,29500,False,S23,和敬静寂,29500,2
22,S8,九州同盟,,29500,False,S3,姫桜,29500,2
23,S3,姫桜,,29500,True,S8,九州同盟,29500,2
24,S15,覇将府,,29500,False,S11,風林火山,29500,0
25,S11,風林火山,,29500,True,S15,覇将府,29500,0
26,S1,ショッカー,,29500,True,S5,奇兵隊,29500,2
27,S5,奇兵隊,,29500,False,S1,ショッカー,29500,2
28,S4,如水,,29500,True,S6,里見八犬伝,29500,2
29,S6,里見八犬伝,,29500,False,S4,如水,29500,2
30,S25,勝鬨で候,,29500,False,S21,新日薙帝國,29500,2
31,S21,新日薙帝國,,29500,True,S25,勝鬨で候,29500,2
32,S10,魔苦土那瑠怒,,29000,False,S7,合肥,29000,2
33,S7,合肥,,29000,True,S10,魔苦土那瑠怒,29000,2
34,S33,最後の晩餐,,29000,True,S27,戦国の花,29000,2
35,S27,戦国の花,,29000,False,S33,最後の晩餐,29000,2
36,S8,大日本帝國,,29000,False,S4,太陽の子,29000,2
37,S4,太陽の子,,29000,True,S8,大日本帝國,29000,2
38,S23,美酒佳肴,1.0,29000,False,S15,紀伊,29000,2
39,S15,紀伊,1.0,29000,True,S23,美酒佳肴,29000,2
40,S25,桜花乱舞,,29000,True,S35,おもち,29000,2
41,S35,おもち,,29000,False,S25,桜花乱舞,29000,2
42,S7,安芸諸国連合,,29000,False,S15,天下一品,29000,2
43,S15,天下一品,,29000,True,S7,安芸諸国連合,29000,2
