Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
S55,ドラえもん,2500,-1,S49,毘沙門天,3400
S49,毘沙門天,2400,-1,S55,ドラえもん,3500
S47,気の向くまま,2500,-1,S54,チカニバル2,3400
S44,桜姫,2500,-1,S45,天神,3900
S41,天照,2500,-1,S56,麦わらの一味,3900
S51,晴天霹靂,2500,-1,S47,れいの家畜,3500
S56,踊,2500,-1,S56,美人局,3300
S47,れいの家畜,2500,-1,S51,晴天霹靂,3500
S54,チカニバル2,2400,-1,S47,気の向くまま,3500
S1,集まれお肉,14900,True,S59,名湯百選,13128
S56,美人局,2300,-1,S56,踊,3500
S19,播州猛虎会,17000,True,S54,ピクニック,15600
S11,月花,19300,True,S57,牛宮城,20500
S11,新月,17100,True,S53,那月邪夢,15544
