Unnamed: 0,Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point,Similarity
0,S8,幻影旅団,23900,False,S2,東南の風,25000,0
1,S2,東南の風,26100,True,S8,幻影旅団,25000,0
2,S27,山ノ手社畜,26100,True,S21,蝉時雨,25000,0
3,S21,蝉時雨,23900,False,S27,山ノ手社畜,25000,0
4,S21,白浜,23900,False,S1,巨砲爆裂,25000,2
5,S1,巨砲爆裂,26100,True,S21,白浜,25000,2
6,S15,合縁奇縁,23900,False,S13,ピノ連合,25000,2
7,S13,ピノ連合,26100,True,S15,合縁奇縁,25000,2
8,S40,春夏秋冬,23900,False,S6,都蘭,25000,2
9,S6,都蘭,26100,True,S40,春夏秋冬,25000,2
10,S38,百折不撓,26100,True,S6,興国寺城,25000,2
11,S6,興国寺城,23900,False,S38,百折不撓,25000,2
12,S19,玄武,26100,True,S11,鎮西一,25000,2
13,S11,鎮西一,23900,False,S19,玄武,25000,2
14,S11,【沙羅双樹】,26100,True,S29,百花繚乱,25000,2
15,S29,百花繚乱,23900,False,S11,【沙羅双樹】,25000,2
16,S23,月面歩行,25600,True,S25,晴耕雨読,24500,2
17,S25,晴耕雨読,23400,False,S23,月面歩行,24500,2
18,S2,第六天魔王,23400,False,S10,武田一族,24500,0
19,S10,武田一族,25600,True,S2,第六天魔王,24500,2
20,S45,ハム一族,25600,True,S35,魔法陣,24500,2
21,S35,魔法陣,23400,False,S45,ハム一族,24500,2
22,S11,日本,25600,True,S9,漢龍関,24500,2
23,S9,漢龍関,23400,False,S11,日本,24500,2
24,S33,徳川光圀,23400,False,S31,珍遊記,24500,2
25,S31,珍遊記,25600,True,S33,徳川光圀,24500,2
26,S5,陽炎,25600,True,S17,乾坤一擲,24500,2
27,S17,乾坤一擲,23400,False,S5,陽炎,24500,2
28,S42,ぱんころ軍,23400,False,S33,百折不撓,24500,2
29,S33,百折不撓,25600,True,S42,ぱんころ軍,24500,2
30,S4,月夜の光,25600,True,S39,鬼斬り,24500,2
31,S39,鬼斬り,23400,False,S4,月夜の光,24500,2
32,S8,わくわく広場,22900,False,S8,惡質,24000,2
33,S8,惡質,25100,True,S8,わくわく広場,24000,2
34,S38,猫屋敷,25100,True,S4,狭間,24000,2
35,S4,狭間,22900,False,S38,猫屋敷,24000,2
36,S13,ジェダイ,25100,True,S21,百鬼夜行新生,24000,2
37,S21,百鬼夜行新生,22900,False,S13,ジェダイ,24000,2
38,S21,華光燐,22900,False,S40,桜花浪漫,24000,2
39,S40,桜花浪漫,25100,True,S21,華光燐,24000,2
40,S43,モヒカン団,22900,False,S41,大晋,24000,2
41,S41,大晋,25100,True,S43,モヒカン団,24000,2
42,S11,やみりん,22900,False,S49,戦国松千代祭,24000,2
