,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,26,210.2,2023-05-18
1,1,1,1,1,1,1,1,1,20,129.0,2023-05-18
2,2,2,2,2,2,2,2,2,21,120.8,2023-05-18
3,3,3,3,3,3,3,3,3,13,38.1,2023-05-18
4,4,4,4,4,4,4,4,4,24,191.5,2023-05-18
5,5,5,5,5,5,5,5,5,22,204.2,2023-05-18
6,6,6,6,6,6,6,6,6,22,106.5,2023-05-18
7,7,7,7,7,7,7,7,7,21,141.0,2023-05-18
8,8,8,8,8,8,8,8,8,23,152.7,2023-05-18
9,9,9,9,9,9,9,9,9,24,180.0,2023-05-18
10,10,10,10,10,10,10,10,10,24,174.7,2023-05-18
11,11,11,11,11,11,11,11,11,21,104.9,2023-05-18
12,12,12,12,12,12,12,12,12,21,88.2,2023-05-18
13,13,13,13,13,13,13,13,13,21,87.2,2023-05-18
14,14,14,14,14,14,14,14,14,23,160.6,2023-05-18
15,15,15,15,15,15,15,15,15,24,153.9,2023-05-18
16,16,16,16,16,16,16,16,16,18,71.4,2023-05-18
17,17,17,17,17,17,17,17,17,20,102.8,2023-05-18
18,18,18,18,18,18,18,18,18,20,96.6,2023-05-18
19,19,19,19,19,19,19,19,19,14,44.8,2023-05-18
20,20,20,20,20,20,20,20,20,18,44.4,2023-05-18
21,21,21,21,21,21,21,21,21,26,177.3,2023-05-18
22,22,22,22,22,22,22,22,22,18,52.2,2023-05-18
23,23,23,23,23,23,23,23,23,21,111.7,2023-05-18
