,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,30,517.4,2023-05-21
1,1,1,30,703.0,2023-05-21
2,2,2,30,605.1,2023-05-21
3,3,3,30,537.0,2023-05-21
4,4,4,30,668.4,2023-05-21
5,5,5,30,516.9,2023-05-21
6,6,6,30,446.2,2023-05-21
7,7,7,29,385.7,2023-05-21
8,8,8,30,551.1,2023-05-21
9,9,9,28,406.8,2023-05-21
10,10,10,30,511.8,2023-05-21
11,11,11,25,337.1,2023-05-21
12,12,12,30,425.1,2023-05-21
13,13,13,28,385.2,2023-05-21
14,14,14,28,418.3,2023-05-21
15,15,15,27,326.7,2023-05-21
16,16,16,29,494.7,2023-05-21
17,17,17,30,495.2,2023-05-21
18,18,18,25,328.6,2023-05-21
19,19,19,30,566.9,2023-05-21
20,20,20,28,406.5,2023-05-21
21,21,21,27,451.7,2023-05-21
22,22,22,29,400.4,2023-05-21
23,23,23,27,404.4,2023-05-21
24,24,24,30,548.6,2023-05-21
25,25,25,30,522.4,2023-05-21
26,26,26,29,399.7,2023-05-21
27,27,27,30,413.4,2023-05-21
28,28,28,29,343.7,2023-05-21
29,29,29,29,384.5,2023-05-21
30,30,30,30,487.1,2023-05-21
31,31,31,30,387.0,2023-05-21
32,32,32,29,400.7,2023-05-21
33,33,33,29,422.8,2023-05-21
34,34,34,28,425.7,2023-05-21
35,35,35,30,440.8,2023-05-21
36,36,36,28,355.8,2023-05-21
37,37,37,29,357.9,2023-05-21
38,38,38,30,457.9,2023-05-21
39,39,39,30,488.6,2023-05-21
40,40,40,29,477.7,2023-05-21
41,41,41,30,396.4,2023-05-21
42,42,42,30,588.4,2023-05-21
43,43,43,30,522.2,2023-05-21
44,44,44,28,414.7,2023-05-21
45,45,45,30,450.0,2023-05-21
46,46,46,27,335.6,2023-05-21
47,47,47,30,507.1,2023-05-21
48,48,48,26,356.0,2023-05-21
49,49,49,30,372.1,2023-05-21
50,50,50,30,447.1,2023-05-21
51,51,51,30,365.9,2023-05-21
52,52,52,24,224.8,2023-05-21
53,53,53,24,125.8,2023-05-21
