,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,27,272.4,2023-05-26
1,1,1,1,1,1,1,1,1,28,393.1,2023-05-26
2,2,2,2,2,2,2,2,2,21,79.8,2023-05-26
3,3,3,3,3,3,3,3,3,18,67.1,2023-05-26
4,4,4,4,4,4,4,4,4,21,85.2,2023-05-26
5,5,5,5,5,5,5,5,5,28,331.5,2023-05-26
6,6,6,6,6,6,6,6,6,26,212.1,2023-05-26
7,7,7,7,7,7,7,7,7,26,200.9,2023-05-26
8,8,8,8,8,8,8,8,8,25,211.6,2023-05-26
9,9,9,9,9,9,9,9,9,24,217.3,2023-05-26
10,10,10,10,10,10,10,10,10,24,155.3,2023-05-26
11,11,11,11,11,11,11,11,11,23,176.2,2023-05-26
12,12,12,12,12,12,12,12,12,26,159.9,2023-05-26
13,13,13,13,13,13,13,13,13,25,213.3,2023-05-26
14,14,14,14,14,14,14,14,14,26,216.4,2023-05-26
15,15,15,15,15,15,15,15,15,15,60.9,2023-05-26
16,16,16,16,16,16,16,16,16,25,190.1,2023-05-26
17,17,17,17,17,17,17,17,17,25,200.1,2023-05-26
18,18,18,18,18,18,18,18,18,23,184.8,2023-05-26
19,19,19,19,19,19,19,19,19,24,139.1,2023-05-26
20,20,20,20,20,20,20,20,20,24,216.3,2023-05-26
21,21,21,21,21,21,21,21,21,26,204.2,2023-05-26
22,22,22,22,22,22,22,22,22,21,98.3,2023-05-26
23,23,23,23,23,23,23,23,23,21,119.6,2023-05-26
24,24,24,24,24,24,24,24,24,23,124.2,2023-05-26
25,25,25,25,25,25,25,25,25,26,200.3,2023-05-26
26,26,26,26,26,26,26,26,26,26,217.2,2023-05-26
27,27,27,27,27,27,27,27,27,25,224.0,2023-05-26
28,28,28,28,28,28,28,28,28,23,142.7,2023-05-26
29,29,29,29,29,29,29,29,29,14,46.6,2023-05-26
30,30,30,30,30,30,30,30,30,22,199.8,2023-05-26
31,31,31,31,31,31,31,31,31,25,138.3,2023-05-26
32,32,32,32,32,32,32,32,32,21,163.3,2023-05-26
33,33,33,33,33,33,33,33,33,21,131.4,2023-05-26
34,34,34,34,34,34,34,34,34,24,210.3,2023-05-26
35,35,35,35,35,35,35,35,35,25,198.2,2023-05-26
36,36,36,36,36,36,36,36,36,24,175.0,2023-05-26
37,37,37,37,37,37,37,37,37,24,177.7,2023-05-26
38,38,38,38,38,38,38,38,38,23,160.6,2023-05-26
39,39,39,39,39,39,39,39,39,27,278.9,2023-05-26
40,40,40,40,40,40,40,40,40,24,204.9,2023-05-26
41,41,41,41,41,41,41,41,41,22,164.7,2023-05-26
42,42,42,42,42,42,42,42,42,21,123.2,2023-05-26
43,43,43,43,43,43,43,43,43,16,70.7,2023-05-26
44,44,44,44,44,44,44,44,44,24,181.9,2023-05-26
45,45,45,45,45,45,45,45,45,21,60.9,2023-05-26
46,46,46,46,46,46,46,46,46,22,133.3,2023-05-26
47,47,47,47,47,47,47,47,47,24,188.4,2023-05-26
48,48,48,48,48,48,48,48,48,21,134.0,2023-05-26
49,49,49,49,49,49,49,49,49,26,232.7,2023-05-26
50,50,50,50,50,50,50,50,50,21,137.2,2023-05-26
51,51,51,51,51,51,51,51,51,21,102.7,2023-05-26
52,52,52,52,52,52,52,52,52,25,171.7,2023-05-26
53,53,53,53,53,53,53,53,53,25,209.5,2023-05-26
54,54,54,54,54,54,54,54,54,23,105.7,2023-05-26
55,55,55,55,55,55,55,55,55,20,106.7,2023-05-26
56,56,56,56,56,56,56,56,56,26,179.6,2023-05-26
57,57,57,57,57,57,57,57,57,23,142.8,2023-05-26
58,58,58,58,58,58,58,58,58,20,78.1,2023-05-26
59,59,59,59,59,59,59,59,59,21,104.5,2023-05-26
60,60,60,60,60,60,60,60,60,22,102.5,2023-05-26
61,61,61,61,61,61,61,61,61,20,73.0,2023-05-26
62,62,62,62,62,62,62,62,62,19,70.8,2023-05-26
