,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,30,451.1,2023-05-21
1,1,1,1,1,1,1,1,30,533.3,2023-05-21
2,2,2,2,2,2,2,2,30,507.7,2023-05-21
3,3,3,3,3,3,3,3,30,462.2,2023-05-21
4,4,4,4,4,4,4,4,30,495.6,2023-05-21
5,5,5,5,5,5,5,5,30,490.0,2023-05-21
6,6,6,6,6,6,6,6,30,422.0,2023-05-21
7,7,7,7,7,7,7,7,27,354.7,2023-05-21
8,8,8,8,8,8,8,8,26,309.1,2023-05-21
9,9,9,9,9,9,9,9,28,423.1,2023-05-21
10,10,10,10,10,10,10,10,30,455.2,2023-05-21
11,11,11,11,11,11,11,11,30,435.8,2023-05-21
12,12,12,12,12,12,12,12,30,475.1,2023-05-21
13,13,13,13,13,13,13,13,30,425.7,2023-05-21
14,14,14,14,14,14,14,14,29,426.0,2023-05-21
15,15,15,15,15,15,15,15,26,219.7,2023-05-21
16,16,16,16,16,16,16,16,27,386.7,2023-05-21
17,17,17,17,17,17,17,17,30,549.9,2023-05-21
18,18,18,18,18,18,18,18,30,600.5,2023-05-21
19,19,19,19,19,19,19,19,27,365.6,2023-05-21
20,20,20,20,20,20,20,20,28,334.2,2023-05-21
21,21,21,21,21,21,21,21,30,422.4,2023-05-21
22,22,22,22,22,22,22,22,29,362.7,2023-05-21
23,23,23,23,23,23,23,23,27,332.9,2023-05-21
24,24,24,24,24,24,24,24,20,74.9,2023-05-21
25,25,25,25,25,25,25,25,26,289.3,2023-05-21
26,26,26,26,26,26,26,26,20,70.9,2023-05-21
27,27,27,27,27,27,27,27,19,100.9,2023-05-21
28,28,28,28,28,28,28,28,25,343.7,2023-05-21
29,29,29,29,29,29,29,29,29,317.4,2023-05-21
30,30,30,30,30,30,30,30,29,385.6,2023-05-21
31,31,31,31,31,31,31,31,30,468.7,2023-05-21
32,32,32,32,32,32,32,32,20,67.8,2023-05-21
33,33,33,33,33,33,33,33,27,362.1,2023-05-21
34,34,34,34,34,34,34,34,28,401.2,2023-05-21
35,35,35,35,35,35,35,35,26,181.3,2023-05-21
36,36,36,36,36,36,36,36,26,313.0,2023-05-21
37,37,37,37,37,37,37,37,25,179.0,2023-05-21
38,38,38,38,38,38,38,38,30,463.3,2023-05-21
39,39,39,39,39,39,39,39,26,242.8,2023-05-21
40,40,40,40,40,40,40,40,29,284.4,2023-05-21
41,41,41,41,41,41,41,41,27,359.2,2023-05-21
42,42,42,42,42,42,42,42,29,372.7,2023-05-21
43,43,43,43,43,43,43,43,28,336.9,2023-05-21
44,44,44,44,44,44,44,44,18,71.2,2023-05-21
45,45,45,45,45,45,45,45,24,335.7,2023-05-21
46,46,46,46,46,46,46,46,27,381.1,2023-05-21
47,47,47,47,47,47,47,47,26,281.8,2023-05-21
48,48,48,48,48,48,48,48,25,169.3,2023-05-21
49,49,49,49,49,49,49,49,29,306.2,2023-05-21
50,50,50,50,50,50,50,50,23,160.5,2023-05-21
51,51,51,51,51,51,51,51,25,233.3,2023-05-21
52,52,52,52,52,52,52,52,26,202.1,2023-05-21
53,53,53,53,53,53,53,53,14,17.2,2023-05-21
54,54,54,54,54,54,54,54,29,349.2,2023-05-21
55,55,55,55,55,55,55,55,27,333.3,2023-05-21
