,Unnamed: 0,level,power,date
0,0,30,655.5,2023-05-26
1,1,30,735.3,2023-05-26
2,2,30,654.6,2023-05-26
3,3,30,697.9,2023-05-26
4,4,30,681.3,2023-05-26
5,5,30,688.2,2023-05-26
6,6,30,675.0,2023-05-26
7,7,30,668.6,2023-05-26
8,8,30,662.0,2023-05-26
9,9,30,642.9,2023-05-26
10,10,30,640.3,2023-05-26
11,11,30,638.5,2023-05-26
12,12,30,626.8,2023-05-26
13,13,30,579.1,2023-05-26
14,14,30,569.4,2023-05-26
15,15,30,553.1,2023-05-26
16,16,30,539.7,2023-05-26
17,17,30,539.5,2023-05-26
18,18,30,533.3,2023-05-26
19,19,30,529.1,2023-05-26
20,20,30,527.5,2023-05-26
21,21,30,484.1,2023-05-26
22,22,30,462.7,2023-05-26
23,23,30,436.3,2023-05-26
24,24,30,690.8,2023-05-26
25,25,30,505.4,2023-05-26
26,26,30,559.6,2023-05-26
27,27,30,616.3,2023-05-26
28,28,30,636.2,2023-05-26
29,29,30,664.8,2023-05-26
30,30,30,678.9,2023-05-26
31,31,30,509.0,2023-05-26
32,32,30,604.0,2023-05-26
33,33,30,506.5,2023-05-26
34,34,30,492.0,2023-05-26
35,35,30,610.3,2023-05-26
36,36,30,484.6,2023-05-26
37,37,30,581.2,2023-05-26
38,38,30,548.0,2023-05-26
39,39,30,534.0,2023-05-26
40,40,30,745.0,2023-05-26
41,41,30,719.7,2023-05-26
42,42,30,537.8,2023-05-26
43,43,30,525.2,2023-05-26
44,44,30,603.5,2023-05-26
45,45,30,618.1,2023-05-26
46,46,30,651.5,2023-05-26
47,47,30,555.3,2023-05-26
48,48,30,472.3,2023-05-26
49,49,30,538.8,2023-05-26
50,50,30,715.1,2023-05-26
51,51,30,609.4,2023-05-26
52,52,30,533.9,2023-05-26
53,53,30,542.0,2023-05-26
54,54,30,480.2,2023-05-26
55,55,30,518.0,2023-05-26
56,56,30,563.6,2023-05-26
57,57,30,517.9,2023-05-26
58,58,30,606.3,2023-05-26
59,59,30,551.7,2023-05-26
60,60,30,513.7,2023-05-26
61,61,30,510.5,2023-05-26
62,62,30,516.2,2023-05-26
63,63,30,396.7,2023-05-26
