,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,29,350.4,2023-05-21
1,1,1,1,1,1,1,1,1,30,506.8,2023-05-21
2,2,2,2,2,2,2,2,2,30,584.7,2023-05-21
3,3,3,3,3,3,3,3,3,30,494.8,2023-05-21
4,4,4,4,4,4,4,4,4,30,474.3,2023-05-21
5,5,5,5,5,5,5,5,5,25,306.0,2023-05-21
6,6,6,6,6,6,6,6,6,25,255.8,2023-05-21
7,7,7,7,7,7,7,7,7,30,475.1,2023-05-21
8,8,8,8,8,8,8,8,8,21,130.6,2023-05-21
9,9,9,9,9,9,9,9,9,29,389.6,2023-05-21
10,10,10,10,10,10,10,10,10,27,291.0,2023-05-21
11,11,11,11,11,11,11,11,11,20,104.7,2023-05-21
12,12,12,12,12,12,12,12,12,26,332.7,2023-05-21
13,13,13,13,13,13,13,13,13,30,525.8,2023-05-21
14,14,14,14,14,14,14,14,14,30,419.1,2023-05-21
15,15,15,15,15,15,15,15,15,30,502.8,2023-05-21
16,16,16,16,16,16,16,16,16,28,463.9,2023-05-21
17,17,17,17,17,17,17,17,17,29,354.6,2023-05-21
18,18,18,18,18,18,18,18,18,30,516.9,2023-05-21
19,19,19,19,19,19,19,19,19,27,323.1,2023-05-21
20,20,20,20,20,20,20,20,20,28,428.2,2023-05-21
21,21,21,21,21,21,21,21,21,24,276.2,2023-05-21
22,22,22,22,22,22,22,22,22,29,496.9,2023-05-21
23,23,23,23,23,23,23,23,23,22,233.7,2023-05-21
24,24,24,24,24,24,24,24,24,20,59.3,2023-05-21
25,25,25,25,25,25,25,25,25,29,419.3,2023-05-21
26,26,26,26,26,26,26,26,26,30,381.5,2023-05-21
27,27,27,27,27,27,27,27,27,28,366.5,2023-05-21
28,28,28,28,28,28,28,28,28,29,342.3,2023-05-21
29,29,29,29,29,29,29,29,29,27,324.6,2023-05-21
30,30,30,30,30,30,30,30,30,23,224.2,2023-05-21
31,31,31,31,31,31,31,31,31,28,324.3,2023-05-21
32,32,32,32,32,32,32,32,32,22,161.2,2023-05-21
33,33,33,33,33,33,33,33,33,27,244.6,2023-05-21
34,34,34,34,34,34,34,34,34,25,217.6,2023-05-21
35,35,35,35,35,35,35,35,35,28,239.0,2023-05-21
