,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,29,268.1,2023-05-15
1,1,1,28,333.9,2023-05-15
2,2,2,28,348.6,2023-05-15
3,3,3,28,308.0,2023-05-15
4,4,4,30,413.6,2023-05-15
5,5,5,28,388.7,2023-05-15
6,6,6,27,330.0,2023-05-15
7,7,7,27,309.3,2023-05-15
8,8,8,27,296.8,2023-05-15
9,9,9,27,273.1,2023-05-15
10,10,10,26,259.8,2023-05-15
11,11,11,25,319.7,2023-05-15
12,12,12,24,267.8,2023-05-15
13,13,13,24,194.9,2023-05-15
14,14,14,22,173.1,2023-05-15
15,15,15,27,328.7,2023-05-15
16,16,16,25,190.1,2023-05-15
17,17,17,25,247.1,2023-05-15
18,18,18,26,290.4,2023-05-15
19,19,19,28,257.9,2023-05-15
20,20,20,27,314.0,2023-05-15
21,21,21,26,252.3,2023-05-15
22,22,22,26,338.5,2023-05-15
23,23,23,29,329.5,2023-05-15
24,24,24,25,282.1,2023-05-15
25,25,25,28,319.5,2023-05-15
26,26,26,25,280.0,2023-05-15
27,27,27,26,250.8,2023-05-15
28,28,28,25,255.8,2023-05-15
29,29,29,27,258.7,2023-05-15
30,30,30,28,356.1,2023-05-15
31,31,31,26,204.1,2023-05-15
32,32,32,27,296.4,2023-05-15
33,33,33,24,143.6,2023-05-15
34,34,34,26,282.5,2023-05-15
35,35,35,23,267.0,2023-05-15
36,36,36,25,223.9,2023-05-15
37,37,37,27,246.6,2023-05-15
38,38,38,24,281.6,2023-05-15
39,39,39,26,276.6,2023-05-15
40,40,40,21,111.5,2023-05-15
41,41,41,26,211.3,2023-05-15
42,42,42,28,299.4,2023-05-15
43,43,43,27,302.9,2023-05-15
44,44,44,24,165.7,2023-05-15
