,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,29,395.2,2023-05-15
1,1,1,1,1,30,481.2,2023-05-15
2,2,2,2,2,29,383.4,2023-05-15
3,3,3,3,3,29,413.6,2023-05-15
4,4,4,4,4,30,357.9,2023-05-15
5,5,5,5,5,29,351.5,2023-05-15
6,6,6,6,6,29,346.9,2023-05-15
7,7,7,7,7,29,339.0,2023-05-15
8,8,8,8,8,28,471.7,2023-05-15
9,9,9,9,9,28,328.0,2023-05-15
10,10,10,10,10,21,167.1,2023-05-15
11,11,11,11,11,30,510.1,2023-05-15
12,12,12,12,12,27,352.5,2023-05-15
13,13,13,13,13,27,327.7,2023-05-15
14,14,14,14,14,30,411.7,2023-05-15
15,15,15,15,15,26,278.3,2023-05-15
16,16,16,16,16,24,333.6,2023-05-15
17,17,17,17,17,30,458.9,2023-05-15
18,18,18,18,18,30,490.3,2023-05-15
19,19,19,19,19,29,454.2,2023-05-15
20,20,20,20,20,29,398.4,2023-05-15
21,21,21,21,21,25,197.3,2023-05-15
22,22,22,22,22,29,412.4,2023-05-15
23,23,23,23,23,28,321.6,2023-05-15
24,24,24,24,24,21,127.1,2023-05-15
25,25,25,25,25,28,445.1,2023-05-15
26,26,26,26,26,29,441.0,2023-05-15
27,27,27,27,27,29,384.7,2023-05-15
28,28,28,28,28,29,370.2,2023-05-15
29,29,29,29,29,27,288.3,2023-05-15
30,30,30,30,30,27,290.2,2023-05-15
31,31,31,31,31,27,337.9,2023-05-15
32,32,32,32,32,27,357.8,2023-05-15
33,33,33,33,33,28,353.9,2023-05-15
34,34,34,34,34,24,240.0,2023-05-15
35,35,35,35,35,30,390.7,2023-05-15
36,36,36,36,36,27,365.1,2023-05-15
37,37,37,37,37,24,203.7,2023-05-15
38,38,38,38,38,24,271.4,2023-05-15
39,39,39,39,39,29,327.8,2023-05-15
40,40,40,40,40,27,344.7,2023-05-15
41,41,41,41,41,29,230.8,2023-05-15
42,42,42,42,42,24,177.8,2023-05-15
43,43,43,43,43,30,480.7,2023-05-15
44,44,44,44,44,28,362.3,2023-05-15
45,45,45,45,45,29,362.3,2023-05-15
46,46,46,46,46,27,282.3,2023-05-15
47,47,47,47,47,25,181.7,2023-05-15
48,48,48,48,48,24,257.4,2023-05-15
49,49,49,49,49,28,356.2,2023-05-15
50,50,50,50,50,27,244.8,2023-05-15
51,51,51,51,51,27,330.8,2023-05-15
52,52,52,52,52,27,259.1,2023-05-15
53,53,53,53,53,24,123.2,2023-05-15
54,54,54,54,54,27,280.6,2023-05-15
55,55,55,55,55,21,79.8,2023-05-15
56,56,56,56,56,28,304.9,2023-05-15
