Unnamed: 0.19,Unnamed: 0.18,Unnamed: 0.17,Unnamed: 0.16,Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,578.2,2023-05-08
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,658.5,2023-05-08
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,610.1,2023-05-08
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30,778.6,2023-05-08
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,30,707.2,2023-05-08
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,30,683.1,2023-05-08
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,30,655.6,2023-05-08
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,30,603.3,2023-05-08
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,30,599.4,2023-05-08
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,30,589.9,2023-05-08
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,30,584.8,2023-05-08
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,30,566.3,2023-05-08
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,30,532.8,2023-05-08
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,30,492.6,2023-05-08
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,28,464.8,2023-05-08
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,30,717.6,2023-05-08
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,29,437.0,2023-05-08
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,30,509.3,2023-05-08
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,30,492.4,2023-05-08
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,30,437.9,2023-05-08
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,30,532.4,2023-05-08
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,30,636.3,2023-05-08
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,29,496.0,2023-05-08
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,29,397.8,2023-05-08
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,30,524.5,2023-05-08
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,30,420.0,2023-05-08
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,30,513.0,2023-05-08
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,415.4,2023-05-08
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,27,267.0,2023-05-08
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,30,510.1,2023-05-08
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,494.4,2023-05-08
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,30,598.8,2023-05-08
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,29,374.8,2023-05-08
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,25,305.0,2023-05-08
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,29,478.3,2023-05-08
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,30,427.6,2023-05-08
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,28,318.1,2023-05-08
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,30,455.1,2023-05-08
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,27,342.4,2023-05-08
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,29,411.8,2023-05-08
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,29,326.2,2023-05-08
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,29,365.4,2023-05-08
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,30,451.3,2023-05-08
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,30,530.7,2023-05-08
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,30,477.5,2023-05-08
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,30,555.7,2023-05-08
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,30,489.2,2023-05-08
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,30,846.1,2023-05-08
