,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,30,421.9,2023-05-26
1,1,1,1,1,30,380.4,2023-05-26
2,2,2,2,2,27,273.6,2023-05-26
3,3,3,3,3,28,348.4,2023-05-26
4,4,4,4,4,28,364.1,2023-05-26
5,5,5,5,5,27,284.5,2023-05-26
6,6,6,6,6,25,263.6,2023-05-26
7,7,7,7,7,25,252.4,2023-05-26
8,8,8,8,8,24,251.0,2023-05-26
9,9,9,9,9,24,148.5,2023-05-26
10,10,10,10,10,22,158.9,2023-05-26
11,11,11,11,11,22,142.3,2023-05-26
12,12,12,12,12,23,147.3,2023-05-26
13,13,13,13,13,24,182.7,2023-05-26
14,14,14,14,14,22,215.6,2023-05-26
15,15,15,15,15,25,232.9,2023-05-26
16,16,16,16,16,25,184.0,2023-05-26
17,17,17,17,17,24,229.6,2023-05-26
18,18,18,18,18,23,139.6,2023-05-26
19,19,19,19,19,26,199.2,2023-05-26
20,20,20,20,20,26,220.7,2023-05-26
21,21,21,21,21,27,228.1,2023-05-26
22,22,22,22,22,26,211.3,2023-05-26
23,23,23,23,23,27,250.5,2023-05-26
24,24,24,24,24,25,248.1,2023-05-26
25,25,25,25,25,24,148.2,2023-05-26
26,26,26,26,26,21,103.8,2023-05-26
27,27,27,27,27,22,149.7,2023-05-26
28,28,28,28,28,25,155.2,2023-05-26
29,29,29,29,29,23,207.1,2023-05-26
30,30,30,30,30,25,142.7,2023-05-26
31,31,31,31,31,26,229.0,2023-05-26
32,32,32,32,32,26,237.3,2023-05-26
33,33,33,33,33,23,186.7,2023-05-26
34,34,34,34,34,21,191.3,2023-05-26
35,35,35,35,35,21,210.0,2023-05-26
36,36,36,36,36,22,207.0,2023-05-26
37,37,37,37,37,24,186.0,2023-05-26
38,38,38,38,38,23,152.5,2023-05-26
39,39,39,39,39,22,119.0,2023-05-26
40,40,40,40,40,26,256.3,2023-05-26
41,41,41,41,41,24,241.7,2023-05-26
42,42,42,42,42,23,209.0,2023-05-26
43,43,43,43,43,23,211.2,2023-05-26
44,44,44,44,44,27,220.9,2023-05-26
45,45,45,45,45,21,138.0,2023-05-26
46,46,46,46,46,18,90.5,2023-05-26
47,47,47,47,47,24,243.2,2023-05-26
48,48,48,48,48,24,195.0,2023-05-26
49,49,49,49,49,24,173.6,2023-05-26
50,50,50,50,50,21,172.3,2023-05-26
51,51,51,51,51,21,168.1,2023-05-26
52,52,52,52,52,23,146.2,2023-05-26
53,53,53,53,53,23,170.9,2023-05-26
54,54,54,54,54,24,191.9,2023-05-26
55,55,55,55,55,21,103.2,2023-05-26
56,56,56,56,56,21,111.6,2023-05-26
57,57,57,57,57,26,215.9,2023-05-26
58,58,58,58,58,21,156.3,2023-05-26
59,59,59,59,59,24,178.7,2023-05-26
60,60,60,60,60,24,129.6,2023-05-26
61,61,61,61,61,22,159.5,2023-05-26
62,62,62,62,62,23,207.2,2023-05-26
63,63,63,63,63,22,98.2,2023-05-26
64,64,64,64,64,21,161.4,2023-05-26
65,65,65,65,65,23,204.9,2023-05-26
66,66,66,66,66,26,229.1,2023-05-26
67,67,67,67,67,24,122.3,2023-05-26
68,68,68,68,68,26,204.2,2023-05-26
69,69,69,69,69,27,284.1,2023-05-26
