level,power,date
27,357.6,2023-07-05
26,332.2,2023-07-05
27,315.8,2023-07-05
27,296.4,2023-07-05
25,292.9,2023-07-05
26,266.8,2023-07-05
22,225.6,2023-07-05
24,204.3,2023-07-05
20,190.3,2023-07-05
21,186.4,2023-07-05
24,180.5,2023-07-05
25,173.1,2023-07-05
22,165.5,2023-07-05
24,155.6,2023-07-05
23,145.3,2023-07-05
24,140.1,2023-07-05
21,123.8,2023-07-05
24,117.0,2023-07-05
21,76.5,2023-07-05
16,72.3,2023-07-05
19,53.6,2023-07-05
16,26.4,2023-07-05
