,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,30,696.8,2023-05-22
1,1,1,30,585.0,2023-05-22
2,2,2,30,444.8,2023-05-22
3,3,3,29,462.3,2023-05-22
4,4,4,29,366.6,2023-05-22
5,5,5,30,756.8,2023-05-22
6,6,6,30,626.7,2023-05-22
7,7,7,30,590.2,2023-05-22
8,8,8,30,541.2,2023-05-22
9,9,9,30,538.9,2023-05-22
10,10,10,30,534.8,2023-05-22
11,11,11,30,534.2,2023-05-22
12,12,12,30,531.5,2023-05-22
13,13,13,30,513.6,2023-05-22
14,14,14,30,504.1,2023-05-22
15,15,15,29,494.2,2023-05-22
16,16,16,29,330.2,2023-05-22
17,17,17,29,305.3,2023-05-22
18,18,18,27,334.1,2023-05-22
19,19,19,30,414.0,2023-05-22
20,20,20,30,490.2,2023-05-22
21,21,21,30,536.2,2023-05-22
22,22,22,30,466.7,2023-05-22
23,23,23,30,603.2,2023-05-22
24,24,24,30,475.7,2023-05-22
25,25,25,29,328.4,2023-05-22
26,26,26,29,321.5,2023-05-22
27,27,27,30,543.3,2023-05-22
28,28,28,30,642.6,2023-05-22
29,29,29,30,552.8,2023-05-22
30,30,30,30,603.2,2023-05-22
31,31,31,28,355.2,2023-05-22
32,32,32,30,480.4,2023-05-22
33,33,33,29,395.3,2023-05-22
34,34,34,29,303.0,2023-05-22
35,35,35,30,537.5,2023-05-22
36,36,36,30,472.1,2023-05-22
37,37,37,30,580.1,2023-05-22
38,38,38,30,601.6,2023-05-22
39,39,39,30,447.2,2023-05-22
40,40,40,29,338.5,2023-05-22
41,41,41,30,521.1,2023-05-22
42,42,42,28,522.9,2023-05-22
43,43,43,30,450.1,2023-05-22
44,44,44,27,338.6,2023-05-22
45,45,45,30,451.8,2023-05-22
46,46,46,30,426.0,2023-05-22
47,47,47,30,516.9,2023-05-22
48,48,48,30,538.4,2023-05-22
49,49,49,30,434.4,2023-05-22
50,50,50,29,325.9,2023-05-22
51,51,51,30,449.2,2023-05-22
52,52,52,30,472.2,2023-05-22
53,53,53,30,385.3,2023-05-22
54,54,54,30,362.7,2023-05-22
55,55,55,28,377.0,2023-05-22
56,56,56,29,420.2,2023-05-22
57,57,57,29,332.3,2023-05-22
58,58,58,29,391.3,2023-05-22
59,59,59,29,386.2,2023-05-22
60,60,60,28,294.4,2023-05-22
61,61,61,29,272.1,2023-05-22
62,62,62,30,679.3,2023-05-22
63,63,63,29,304.9,2023-05-22
64,64,64,29,308.1,2023-05-22
65,65,65,28,269.8,2023-05-22
66,66,66,29,314.5,2023-05-22
67,67,67,29,317.2,2023-05-22
68,68,68,30,420.2,2023-05-22
