,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,30,625.4,2023-05-21
1,1,1,1,30,659.0,2023-05-21
2,2,2,2,30,530.6,2023-05-21
3,3,3,3,30,727.7,2023-05-21
4,4,4,4,28,458.0,2023-05-21
5,5,5,5,30,667.7,2023-05-21
6,6,6,6,30,630.8,2023-05-21
7,7,7,7,30,606.3,2023-05-21
8,8,8,8,30,507.7,2023-05-21
9,9,9,9,30,477.1,2023-05-21
10,10,10,10,30,447.5,2023-05-21
11,11,11,11,28,536.0,2023-05-21
12,12,12,12,29,490.0,2023-05-21
13,13,13,13,30,581.9,2023-05-21
14,14,14,14,30,486.3,2023-05-21
15,15,15,15,29,451.6,2023-05-21
16,16,16,16,30,552.6,2023-05-21
17,17,17,17,30,573.4,2023-05-21
18,18,18,18,30,597.3,2023-05-21
19,19,19,19,29,525.8,2023-05-21
20,20,20,20,30,518.7,2023-05-21
21,21,21,21,30,638.1,2023-05-21
22,22,22,22,30,584.7,2023-05-21
23,23,23,23,30,459.6,2023-05-21
24,24,24,24,30,505.7,2023-05-21
25,25,25,25,30,513.0,2023-05-21
26,26,26,26,26,280.4,2023-05-21
27,27,27,27,29,411.8,2023-05-21
28,28,28,28,29,485.2,2023-05-21
29,29,29,29,30,539.0,2023-05-21
30,30,30,30,30,681.2,2023-05-21
31,31,31,31,30,472.3,2023-05-21
32,32,32,32,27,356.6,2023-05-21
33,33,33,33,29,378.0,2023-05-21
34,34,34,34,30,521.9,2023-05-21
35,35,35,35,30,543.4,2023-05-21
36,36,36,36,30,545.8,2023-05-21
37,37,37,37,30,529.7,2023-05-21
38,38,38,38,30,503.6,2023-05-21
39,39,39,39,30,384.5,2023-05-21
40,40,40,40,30,519.3,2023-05-21
41,41,41,41,30,608.4,2023-05-21
42,42,42,42,30,676.9,2023-05-21
43,43,43,43,30,606.1,2023-05-21
44,44,44,44,30,617.8,2023-05-21
45,45,45,45,30,541.1,2023-05-21
46,46,46,46,30,678.3,2023-05-21
47,47,47,47,30,373.0,2023-05-21
48,48,48,48,30,543.1,2023-05-21
49,49,49,49,30,543.2,2023-05-21
50,50,50,50,30,498.5,2023-05-21
51,51,51,51,30,519.0,2023-05-21
52,52,52,52,30,637.8,2023-05-21
53,53,53,53,30,576.1,2023-05-21
54,54,54,54,30,522.1,2023-05-21
55,55,55,55,28,398.2,2023-05-21
56,56,56,56,30,490.2,2023-05-21
57,57,57,57,28,396.5,2023-05-21
58,58,58,58,30,489.3,2023-05-21
59,59,59,59,30,540.3,2023-05-21
60,60,60,60,26,255.6,2023-05-21
61,61,61,61,30,474.9,2023-05-21
62,62,62,62,30,537.0,2023-05-21
63,63,63,63,30,543.3,2023-05-21
64,64,64,64,30,424.2,2023-05-21
65,65,65,65,28,402.4,2023-05-21
66,66,66,66,30,421.1,2023-05-21
67,67,67,67,30,384.3,2023-05-21
68,68,68,68,30,528.9,2023-05-21
69,69,69,69,26,316.8,2023-05-21
