,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,26,251.2,2023-05-21
1,1,1,1,1,1,1,1,1,28,335.2,2023-05-21
2,2,2,2,2,2,2,2,2,29,452.2,2023-05-21
3,3,3,3,3,3,3,3,3,30,640.6,2023-05-21
4,4,4,4,4,4,4,4,4,30,447.1,2023-05-21
5,5,5,5,5,5,5,5,5,28,435.0,2023-05-21
6,6,6,6,6,6,6,6,6,27,417.1,2023-05-21
7,7,7,7,7,7,7,7,7,29,421.0,2023-05-21
8,8,8,8,8,8,8,8,8,28,407.1,2023-05-21
9,9,9,9,9,9,9,9,9,29,401.6,2023-05-21
10,10,10,10,10,10,10,10,10,24,220.2,2023-05-21
11,11,11,11,11,11,11,11,11,28,417.5,2023-05-21
12,12,12,12,12,12,12,12,12,30,407.5,2023-05-21
13,13,13,13,13,13,13,13,13,30,411.6,2023-05-21
14,14,14,14,14,14,14,14,14,25,301.4,2023-05-21
15,15,15,15,15,15,15,15,15,29,289.2,2023-05-21
16,16,16,16,16,16,16,16,16,29,375.8,2023-05-21
17,17,17,17,17,17,17,17,17,24,182.2,2023-05-21
18,18,18,18,18,18,18,18,18,30,435.7,2023-05-21
19,19,19,19,19,19,19,19,19,27,202.8,2023-05-21
20,20,20,20,20,20,20,20,20,28,308.8,2023-05-21
21,21,21,21,21,21,21,21,21,30,497.1,2023-05-21
22,22,22,22,22,22,22,22,22,26,290.4,2023-05-21
23,23,23,23,23,23,23,23,23,26,282.7,2023-05-21
24,24,24,24,24,24,24,24,24,30,372.9,2023-05-21
25,25,25,25,25,25,25,25,25,26,150.9,2023-05-21
26,26,26,26,26,26,26,26,26,29,390.9,2023-05-21
27,27,27,27,27,27,27,27,27,30,480.9,2023-05-21
28,28,28,28,28,28,28,28,28,30,382.1,2023-05-21
29,29,29,29,29,29,29,29,29,30,396.5,2023-05-21
