Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,0,30,638.9,2023-06-02
1,1,1,1,1,1,1,1,1,1,1,1,30,715.0,2023-06-02
2,2,2,2,2,2,2,2,2,2,2,2,30,667.4,2023-06-02
3,3,3,3,3,3,3,3,3,3,3,3,30,533.0,2023-06-02
4,4,4,4,4,4,4,4,4,4,4,4,30,690.0,2023-06-02
5,5,5,5,5,5,5,5,5,5,5,5,30,754.2,2023-06-02
6,6,6,6,6,6,6,6,6,6,6,6,30,687.1,2023-06-02
7,7,7,7,7,7,7,7,7,7,7,7,30,676.8,2023-06-02
8,8,8,8,8,8,8,8,8,8,8,8,30,655.5,2023-06-02
9,9,9,9,9,9,9,9,9,9,9,9,30,639.9,2023-06-02
10,10,10,10,10,10,10,10,10,10,10,10,30,627.1,2023-06-02
11,11,11,11,11,11,11,11,11,11,11,11,30,623.3,2023-06-02
12,12,12,12,12,12,12,12,12,12,12,12,30,555.7,2023-06-02
13,13,13,13,13,13,13,13,13,13,13,13,30,526.7,2023-06-02
14,14,14,14,14,14,14,14,14,14,14,14,30,483.4,2023-06-02
15,15,15,15,15,15,15,15,15,15,15,15,30,427.7,2023-06-02
16,16,16,16,16,16,16,16,16,16,16,16,28,425.5,2023-06-02
17,17,17,17,17,17,17,17,17,17,17,17,30,646.9,2023-06-02
18,18,18,18,18,18,18,18,18,18,18,18,30,579.6,2023-06-02
19,19,19,19,19,19,19,19,19,19,19,19,30,507.7,2023-06-02
20,20,20,20,20,20,20,20,20,20,20,20,30,565.9,2023-06-02
21,21,21,21,21,21,21,21,21,21,21,21,30,426.3,2023-06-02
22,22,22,22,22,22,22,22,22,22,22,22,29,333.3,2023-06-02
23,23,23,23,23,23,23,23,23,23,23,23,30,581.3,2023-06-02
24,24,24,24,24,24,24,24,24,24,24,24,30,695.3,2023-06-02
25,25,25,25,25,25,25,25,25,25,25,25,30,680.8,2023-06-02
26,26,26,26,26,26,26,26,26,26,26,26,30,532.5,2023-06-02
27,27,27,27,27,27,27,27,27,27,27,27,30,616.0,2023-06-02
28,28,28,28,28,28,28,28,28,28,28,28,28,436.0,2023-06-02
29,29,29,29,29,29,29,29,29,29,29,29,30,614.8,2023-06-02
30,30,30,30,30,30,30,30,30,30,30,30,30,490.7,2023-06-02
31,31,31,31,31,31,31,31,31,31,31,31,30,623.9,2023-06-02
32,32,32,32,32,32,32,32,32,32,32,32,30,442.8,2023-06-02
33,33,33,33,33,33,33,33,33,33,33,33,30,563.2,2023-06-02
34,34,34,34,34,34,34,34,34,34,34,34,28,445.3,2023-06-02
35,35,35,35,35,35,35,35,35,35,35,35,29,412.4,2023-06-02
36,36,36,36,36,36,36,36,36,36,36,36,30,482.8,2023-06-02
37,37,37,37,37,37,37,37,37,37,37,37,30,561.4,2023-06-02
38,38,38,38,38,38,38,38,38,38,38,38,30,478.2,2023-06-02
39,39,39,39,39,39,39,39,39,39,39,39,30,439.3,2023-06-02
40,40,40,40,40,40,40,40,40,40,40,40,30,545.2,2023-06-02
41,41,41,41,41,41,41,41,41,41,41,41,30,532.0,2023-06-02
42,42,42,42,42,42,42,42,42,42,42,42,29,388.7,2023-06-02
43,43,43,43,43,43,43,43,43,43,43,43,30,485.2,2023-06-02
44,44,44,44,44,44,44,44,44,44,44,44,29,379.5,2023-06-02
45,45,45,45,45,45,45,45,45,45,45,45,30,470.8,2023-06-02
46,46,46,46,46,46,46,46,46,46,46,46,29,452.5,2023-06-02
47,47,47,47,47,47,47,47,47,47,47,47,30,548.9,2023-06-02
48,48,48,48,48,48,48,48,48,48,48,48,29,302.3,2023-06-02
49,49,49,49,49,49,49,49,49,49,49,49,30,596.5,2023-06-02
50,50,50,50,50,50,50,50,50,50,50,50,30,563.5,2023-06-02
51,51,51,51,51,51,51,51,51,51,51,51,29,439.9,2023-06-02
52,52,52,52,52,52,52,52,52,52,52,52,29,370.7,2023-06-02
53,53,53,53,53,53,53,53,53,53,53,53,30,586.1,2023-06-02
54,54,54,54,54,54,54,54,54,54,54,54,30,403.3,2023-06-02
55,55,55,55,55,55,55,55,55,55,55,55,28,354.7,2023-06-02
56,56,56,56,56,56,56,56,56,56,56,56,30,442.6,2023-06-02
57,57,57,57,57,57,57,57,57,57,57,57,29,358.5,2023-06-02
58,58,58,58,58,58,58,58,58,58,58,58,30,439.6,2023-06-02
59,59,59,59,59,59,59,59,59,59,59,59,29,420.0,2023-06-02
60,60,60,60,60,60,60,60,60,60,60,60,30,917.2,2023-06-02
61,61,61,61,61,61,61,61,61,61,61,61,30,826.3,2023-06-02
