,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,30,765.0,2023-05-21
1,1,1,1,1,1,1,30,843.1,2023-05-21
2,2,2,2,2,2,2,30,724.0,2023-05-21
3,3,3,3,3,3,3,30,569.7,2023-05-21
4,4,4,4,4,4,4,30,531.2,2023-05-21
5,5,5,5,5,5,5,30,794.5,2023-05-21
6,6,6,6,6,6,6,30,671.0,2023-05-21
7,7,7,7,7,7,7,30,542.5,2023-05-21
8,8,8,8,8,8,8,30,534.7,2023-05-21
9,9,9,9,9,9,9,27,313.4,2023-05-21
10,10,10,10,10,10,10,30,549.3,2023-05-21
11,11,11,11,11,11,11,30,666.7,2023-05-21
12,12,12,12,12,12,12,30,762.2,2023-05-21
13,13,13,13,13,13,13,30,632.2,2023-05-21
14,14,14,14,14,14,14,30,571.0,2023-05-21
15,15,15,15,15,15,15,30,666.7,2023-05-21
16,16,16,16,16,16,16,30,610.0,2023-05-21
17,17,17,17,17,17,17,30,461.6,2023-05-21
18,18,18,18,18,18,18,30,573.9,2023-05-21
19,19,19,19,19,19,19,30,504.9,2023-05-21
20,20,20,20,20,20,20,30,639.9,2023-05-21
21,21,21,21,21,21,21,30,629.4,2023-05-21
22,22,22,22,22,22,22,30,550.6,2023-05-21
23,23,23,23,23,23,23,24,149.7,2023-05-21
24,24,24,24,24,24,24,30,756.6,2023-05-21
25,25,25,25,25,25,25,27,255.5,2023-05-21
26,26,26,26,26,26,26,28,294.4,2023-05-21
27,27,27,27,27,27,27,29,280.8,2023-05-21
