,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,30,593.2,2023-05-21
1,1,1,1,1,30,604.8,2023-05-21
2,2,2,2,2,30,473.2,2023-05-21
3,3,3,3,3,30,512.4,2023-05-21
4,4,4,4,4,30,461.7,2023-05-21
5,5,5,5,5,30,622.4,2023-05-21
6,6,6,6,6,30,512.1,2023-05-21
7,7,7,7,7,23,296.9,2023-05-21
8,8,8,8,8,20,91.7,2023-05-21
9,9,9,9,9,30,505.7,2023-05-21
10,10,10,10,10,30,587.0,2023-05-21
11,11,11,11,11,29,401.4,2023-05-21
12,12,12,12,12,26,232.0,2023-05-21
13,13,13,13,13,30,587.6,2023-05-21
14,14,14,14,14,30,467.6,2023-05-21
15,15,15,15,15,25,321.0,2023-05-21
16,16,16,16,16,25,299.0,2023-05-21
17,17,17,17,17,26,260.5,2023-05-21
18,18,18,18,18,29,424.4,2023-05-21
19,19,19,19,19,29,450.9,2023-05-21
20,20,20,20,20,30,504.2,2023-05-21
21,21,21,21,21,29,395.7,2023-05-21
22,22,22,22,22,27,309.8,2023-05-21
23,23,23,23,23,30,535.4,2023-05-21
24,24,24,24,24,29,399.3,2023-05-21
25,25,25,25,25,26,339.9,2023-05-21
26,26,26,26,26,23,272.5,2023-05-21
27,27,27,27,27,27,239.8,2023-05-21
28,28,28,28,28,25,275.1,2023-05-21
29,29,29,29,29,29,398.1,2023-05-21
30,30,30,30,30,27,406.6,2023-05-21
31,31,31,31,31,24,228.8,2023-05-21
32,32,32,32,32,25,253.3,2023-05-21
33,33,33,33,33,24,198.3,2023-05-21
34,34,34,34,34,27,317.8,2023-05-21
35,35,35,35,35,29,309.8,2023-05-21
36,36,36,36,36,25,303.9,2023-05-21
37,37,37,37,37,25,222.8,2023-05-21
38,38,38,38,38,29,253.8,2023-05-21
39,39,39,39,39,26,322.2,2023-05-21
40,40,40,40,40,30,514.4,2023-05-21
41,41,41,41,41,26,220.7,2023-05-21
42,42,42,42,42,27,248.7,2023-05-21
43,43,43,43,43,26,282.5,2023-05-21
44,44,44,44,44,29,331.3,2023-05-21
45,45,45,45,45,24,207.0,2023-05-21
46,46,46,46,46,28,367.2,2023-05-21
47,47,47,47,47,27,365.4,2023-05-21
48,48,48,48,48,25,289.3,2023-05-21
49,49,49,49,49,24,126.9,2023-05-21
50,50,50,50,50,26,311.5,2023-05-21
51,51,51,51,51,21,152.6,2023-05-21
52,52,52,52,52,28,300.4,2023-05-21
53,53,53,53,53,25,183.4,2023-05-21
54,54,54,54,54,24,195.7,2023-05-21
55,55,55,55,55,22,118.2,2023-05-21
