Unnamed: 0,Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point
139,S53,餓狼,11000,True,S9,挑,10200
140,S44,華,11000,False,S56,暴力反対,12100
141,S10,まったり野望,6700,-1,S40,南国丸,7298
142,S56,天地人,15319,True,S55,竜騰虎闘,14600
143,S56,暴力反対,13200,True,S44,華,12100
144,S56,戦国義心,12672,True,S10,稲葉の白兎,11600
145,S58,夜凪,14800,True,S10,煌龍家,13400
146,S40,男の修行,14900,True,S57,竜宮城,13800
147,S57,鬼神,8300,True,S4,空腹虫,8400
148,S41,自田無言同盟,10500,False,S53,那月邪夢,11600
149,S2,戦国の休憩所,6200,-1,S11,水車,8400
150,S40,伊賀甲賀忍法,10528,True,S43,焔,10400
151,S56,悪鬼羅刹,12700,True,S23,百鬼夜行,11700
152,S57,加賀産上,10432,False,S51,天真爛漫,11700
153,S40,南国丸,6198,-1,S10,まったり野望,7800
154,S53,那月邪夢,12700,True,S41,自田無言同盟,11600
155,S10,稲葉の白兎,10500,False,S56,戦国義心,11572
156,S48,国士無双,14900,True,S25,風林火山2,13400
157,S53,葉月,8269,False,S56,アルデンテ,9900
158,S57,毘・北陸軍談,8331,True,S55,新信長の野望,8800
159,S57,竜宮城,12700,False,S40,男の修行,13800
