,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,30,614.1,2023-05-24
1,1,1,1,1,30,648.9,2023-05-24
2,2,2,2,2,30,432.7,2023-05-24
3,3,3,3,3,30,510.0,2023-05-24
4,4,4,4,4,29,397.4,2023-05-24
5,5,5,5,5,30,505.5,2023-05-24
6,6,6,6,6,30,473.5,2023-05-24
7,7,7,7,7,30,444.8,2023-05-24
8,8,8,8,8,30,442.4,2023-05-24
9,9,9,9,9,30,414.7,2023-05-24
10,10,10,10,10,30,408.2,2023-05-24
11,11,11,11,11,30,379.0,2023-05-24
12,12,12,12,12,30,515.8,2023-05-24
13,13,13,13,13,30,466.4,2023-05-24
14,14,14,14,14,30,335.7,2023-05-24
15,15,15,15,15,30,356.4,2023-05-24
16,16,16,16,16,30,517.6,2023-05-24
17,17,17,17,17,30,401.1,2023-05-24
18,18,18,18,18,28,322.1,2023-05-24
19,19,19,19,19,30,545.9,2023-05-24
20,20,20,20,20,29,400.2,2023-05-24
21,21,21,21,21,30,449.7,2023-05-24
22,22,22,22,22,30,499.6,2023-05-24
23,23,23,23,23,29,432.4,2023-05-24
24,24,24,24,24,30,481.9,2023-05-24
25,25,25,25,25,30,538.0,2023-05-24
26,26,26,26,26,24,144.7,2023-05-24
27,27,27,27,27,29,352.0,2023-05-24
28,28,28,28,28,30,603.4,2023-05-24
29,29,29,29,29,28,406.4,2023-05-24
30,30,30,30,30,26,220.0,2023-05-24
31,31,31,31,31,24,352.1,2023-05-24
32,32,32,32,32,29,368.7,2023-05-24
33,33,33,33,33,29,399.4,2023-05-24
34,34,34,34,34,27,351.8,2023-05-24
35,35,35,35,35,27,411.2,2023-05-24
36,36,36,36,36,29,311.7,2023-05-24
37,37,37,37,37,22,200.5,2023-05-24
38,38,38,38,38,30,553.1,2023-05-24
39,39,39,39,39,28,264.9,2023-05-24
40,40,40,40,40,30,459.8,2023-05-24
41,41,41,41,41,30,408.3,2023-05-24
42,42,42,42,42,29,386.0,2023-05-24
43,43,43,43,43,25,288.7,2023-05-24
44,44,44,44,44,29,461.2,2023-05-24
45,45,45,45,45,28,283.2,2023-05-24
46,46,46,46,46,27,411.5,2023-05-24
47,47,47,47,47,27,342.4,2023-05-24
48,48,48,48,48,25,211.1,2023-05-24
49,49,49,49,49,30,452.1,2023-05-24
50,50,50,50,50,27,296.9,2023-05-24
51,51,51,51,51,28,335.8,2023-05-24
52,52,52,52,52,29,368.2,2023-05-24
53,53,53,53,53,26,214.0,2023-05-24
54,54,54,54,54,27,213.9,2023-05-24
55,55,55,55,55,14,24.7,2023-05-24
56,56,56,56,56,24,170.0,2023-05-24
57,57,57,57,57,24,228.2,2023-05-24
58,58,58,58,58,29,404.7,2023-05-24
