,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,30,871.5,2023-05-24
1,1,1,1,1,30,608.9,2023-05-24
2,2,2,2,2,30,417.0,2023-05-24
3,3,3,3,3,30,474.6,2023-05-24
4,4,4,4,4,30,471.6,2023-05-24
5,5,5,5,5,30,795.6,2023-05-24
6,6,6,6,6,30,752.4,2023-05-24
7,7,7,7,7,30,630.0,2023-05-24
8,8,8,8,8,30,622.1,2023-05-24
9,9,9,9,9,30,611.6,2023-05-24
10,10,10,10,10,30,550.0,2023-05-24
11,11,11,11,11,30,525.7,2023-05-24
12,12,12,12,12,30,495.8,2023-05-24
13,13,13,13,13,30,423.2,2023-05-24
14,14,14,14,14,30,416.9,2023-05-24
15,15,15,15,15,29,380.0,2023-05-24
16,16,16,16,16,28,301.5,2023-05-24
17,17,17,17,17,30,554.8,2023-05-24
18,18,18,18,18,30,414.9,2023-05-24
19,19,19,19,19,30,471.6,2023-05-24
20,20,20,20,20,30,541.3,2023-05-24
21,21,21,21,21,29,392.3,2023-05-24
22,22,22,22,22,30,492.7,2023-05-24
23,23,23,23,23,30,417.6,2023-05-24
24,24,24,24,24,30,528.3,2023-05-24
25,25,25,25,25,30,559.4,2023-05-24
26,26,26,26,26,30,596.3,2023-05-24
27,27,27,27,27,30,600.6,2023-05-24
28,28,28,28,28,30,789.3,2023-05-24
29,29,29,29,29,29,433.3,2023-05-24
30,30,30,30,30,30,498.7,2023-05-24
31,31,31,31,31,30,730.1,2023-05-24
32,32,32,32,32,30,582.6,2023-05-24
33,33,33,33,33,30,622.9,2023-05-24
34,34,34,34,34,29,330.2,2023-05-24
35,35,35,35,35,30,582.2,2023-05-24
36,36,36,36,36,30,389.8,2023-05-24
37,37,37,37,37,26,317.7,2023-05-24
38,38,38,38,38,30,455.3,2023-05-24
39,39,39,39,39,28,319.1,2023-05-24
40,40,40,40,40,30,631.0,2023-05-24
41,41,41,41,41,30,694.2,2023-05-24
42,42,42,42,42,30,332.4,2023-05-24
43,43,43,43,43,30,492.0,2023-05-24
44,44,44,44,44,30,484.5,2023-05-24
45,45,45,45,45,30,424.0,2023-05-24
46,46,46,46,46,27,355.7,2023-05-24
47,47,47,47,47,28,313.2,2023-05-24
48,48,48,48,48,29,377.6,2023-05-24
49,49,49,49,49,30,400.9,2023-05-24
50,50,50,50,50,30,324.9,2023-05-24
51,51,51,51,51,27,257.2,2023-05-24
52,52,52,52,52,30,548.6,2023-05-24
53,53,53,53,53,30,454.1,2023-05-24
54,54,54,54,54,28,387.5,2023-05-24
55,55,55,55,55,30,362.3,2023-05-24
56,56,56,56,56,30,451.3,2023-05-24
57,57,57,57,57,15,26.8,2023-05-24
58,58,58,58,58,30,612.6,2023-05-24
59,59,59,59,59,30,457.1,2023-05-24
60,60,60,60,60,28,373.9,2023-05-24
61,61,61,61,61,23,138.8,2023-05-24
62,62,62,62,62,21,127.6,2023-05-24
63,63,63,63,63,29,280.8,2023-05-24
64,64,64,64,64,27,311.6,2023-05-24
65,65,65,65,65,27,368.1,2023-05-24
66,66,66,66,66,29,372.4,2023-05-24
