,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,0,30,620.3,2023-04-25
1,1,1,1,1,1,1,1,1,1,1,1,30,632.4,2023-04-25
2,2,2,2,2,2,2,2,2,2,2,2,30,565.4,2023-04-25
3,3,3,3,3,3,3,3,3,3,3,3,30,519.3,2023-04-25
4,4,4,4,4,4,4,4,4,4,4,4,30,661.7,2023-04-25
5,5,5,5,5,5,5,5,5,5,5,5,30,542.6,2023-04-25
6,6,6,6,6,6,6,6,6,6,6,6,30,529.7,2023-04-25
7,7,7,7,7,7,7,7,7,7,7,7,30,526.2,2023-04-25
8,8,8,8,8,8,8,8,8,8,8,8,30,505.9,2023-04-25
9,9,9,9,9,9,9,9,9,9,9,9,30,415.1,2023-04-25
10,10,10,10,10,10,10,10,10,10,10,10,30,402.3,2023-04-25
11,11,11,11,11,11,11,11,11,11,11,11,29,489.1,2023-04-25
12,12,12,12,12,12,12,12,12,12,12,12,30,507.7,2023-04-25
13,13,13,13,13,13,13,13,13,13,13,13,29,452.6,2023-04-25
14,14,14,14,14,14,14,14,14,14,14,14,30,545.9,2023-04-25
15,15,15,15,15,15,15,15,15,15,15,15,30,445.3,2023-04-25
16,16,16,16,16,16,16,16,16,16,16,16,30,653.7,2023-04-25
17,17,17,17,17,17,17,17,17,17,17,17,30,477.9,2023-04-25
18,18,18,18,18,18,18,18,18,18,18,18,30,484.7,2023-04-25
19,19,19,19,19,19,19,19,19,19,19,19,30,386.1,2023-04-25
20,20,20,20,20,20,20,20,20,20,20,20,29,314.5,2023-04-25
21,21,21,21,21,21,21,21,21,21,21,21,30,356.4,2023-04-25
22,22,22,22,22,22,22,22,22,22,22,22,29,312.3,2023-04-25
23,23,23,23,23,23,23,23,23,23,23,23,30,423.4,2023-04-25
24,24,24,24,24,24,24,24,24,24,24,24,30,501.7,2023-04-25
25,25,25,25,25,25,25,25,25,25,25,25,28,531.7,2023-04-25
26,26,26,26,26,26,26,26,26,26,26,26,30,571.9,2023-04-25
27,27,27,27,27,27,27,27,27,27,27,27,30,607.4,2023-04-25
28,28,28,28,28,28,28,28,28,28,28,28,30,437.3,2023-04-25
29,29,29,29,29,29,29,29,29,29,29,29,30,487.9,2023-04-25
30,30,30,30,30,30,30,30,30,30,30,30,30,467.5,2023-04-25
31,31,31,31,31,31,31,31,31,31,31,31,30,404.2,2023-04-25
32,32,32,32,32,32,32,32,32,32,32,32,29,321.8,2023-04-25
33,33,33,33,33,33,33,33,33,33,33,33,27,384.7,2023-04-25
34,34,34,34,34,34,34,34,34,34,34,34,30,584.2,2023-04-25
35,35,35,35,35,35,35,35,35,35,35,35,30,372.3,2023-04-25
36,36,36,36,36,36,36,36,36,36,36,36,30,496.4,2023-04-25
37,37,37,37,37,37,37,37,37,37,37,37,29,502.0,2023-04-25
38,38,38,38,38,38,38,38,38,38,38,38,30,568.6,2023-04-25
39,39,39,39,39,39,39,39,39,39,39,39,30,608.2,2023-04-25
40,40,40,40,40,40,40,40,40,40,40,40,29,427.4,2023-04-25
41,41,41,41,41,41,41,41,41,41,41,41,30,395.7,2023-04-25
42,42,42,42,42,42,42,42,42,42,42,42,30,455.0,2023-04-25
43,43,43,43,43,43,43,43,43,43,43,43,30,497.2,2023-04-25
44,44,44,44,44,44,44,44,44,44,44,44,29,697.0,2023-04-25
45,45,45,45,45,45,45,45,45,45,45,45,29,323.1,2023-04-25
46,46,46,46,46,46,46,46,46,46,46,46,29,372.6,2023-04-25
47,47,47,47,47,47,47,47,47,47,47,47,29,390.6,2023-04-25
48,48,48,48,48,48,48,48,48,48,48,48,29,372.1,2023-04-25
49,49,49,49,49,49,49,49,49,49,49,49,30,431.1,2023-04-25
50,50,50,50,50,50,50,50,50,50,50,50,29,419.5,2023-04-25
51,51,51,51,51,51,51,51,51,51,51,51,30,466.3,2023-04-25
52,52,52,52,52,52,52,52,52,52,52,52,24,195.4,2023-04-25
53,53,53,53,53,53,53,53,53,53,53,53,27,284.8,2023-04-25
54,54,54,54,54,54,54,54,54,54,54,54,30,398.8,2023-04-25
55,55,55,55,55,55,55,55,55,55,55,55,30,581.6,2023-04-25
56,56,56,56,56,56,56,56,56,56,56,56,28,110.0,2023-04-25
57,57,57,57,57,57,57,57,57,57,57,57,30,497.8,2023-04-25
58,58,58,58,58,58,58,58,58,58,58,58,29,378.0,2023-04-25
59,59,59,59,59,59,59,59,59,59,59,59,26,361.2,2023-04-25
60,60,60,60,60,60,60,60,60,60,60,60,28,359.7,2023-04-25
61,61,61,61,61,61,61,61,61,61,61,61,29,453.4,2023-04-25
62,62,62,62,62,62,62,62,62,62,62,62,28,321.9,2023-04-25
