,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,0,30,417.4,2023-04-25
1,1,1,1,1,1,1,1,1,1,1,1,30,564.5,2023-04-25
2,2,2,2,2,2,2,2,2,2,2,2,29,409.0,2023-04-25
3,3,3,3,3,3,3,3,3,3,3,3,30,519.4,2023-04-25
4,4,4,4,4,4,4,4,4,4,4,4,30,607.8,2023-04-25
5,5,5,5,5,5,5,5,5,5,5,5,30,664.4,2023-04-25
6,6,6,6,6,6,6,6,6,6,6,6,30,627.2,2023-04-25
7,7,7,7,7,7,7,7,7,7,7,7,30,577.3,2023-04-25
8,8,8,8,8,8,8,8,8,8,8,8,30,558.6,2023-04-25
9,9,9,9,9,9,9,9,9,9,9,9,30,547.0,2023-04-25
10,10,10,10,10,10,10,10,10,10,10,10,30,539.3,2023-04-25
11,11,11,11,11,11,11,11,11,11,11,11,30,521.8,2023-04-25
12,12,12,12,12,12,12,12,12,12,12,12,30,506.8,2023-04-25
13,13,13,13,13,13,13,13,13,13,13,13,30,504.3,2023-04-25
14,14,14,14,14,14,14,14,14,14,14,14,30,491.6,2023-04-25
15,15,15,15,15,15,15,15,15,15,15,15,30,488.1,2023-04-25
16,16,16,16,16,16,16,16,16,16,16,16,30,468.3,2023-04-25
17,17,17,17,17,17,17,17,17,17,17,17,30,449.9,2023-04-25
18,18,18,18,18,18,18,18,18,18,18,18,30,442.1,2023-04-25
19,19,19,19,19,19,19,19,19,19,19,19,30,440.8,2023-04-25
20,20,20,20,20,20,20,20,20,20,20,20,30,411.0,2023-04-25
21,21,21,21,21,21,21,21,21,21,21,21,30,401.3,2023-04-25
22,22,22,22,22,22,22,22,22,22,22,22,26,296.3,2023-04-25
23,23,23,23,23,23,23,23,23,23,23,23,30,685.1,2023-04-25
24,24,24,24,24,24,24,24,24,24,24,24,29,414.8,2023-04-25
25,25,25,25,25,25,25,25,25,25,25,25,30,490.9,2023-04-25
26,26,26,26,26,26,26,26,26,26,26,26,30,403.2,2023-04-25
27,27,27,27,27,27,27,27,27,27,27,27,30,468.2,2023-04-25
28,28,28,28,28,28,28,28,28,28,28,28,24,211.9,2023-04-25
29,29,29,29,29,29,29,29,29,29,29,29,30,491.7,2023-04-25
30,30,30,30,30,30,30,30,30,30,30,30,26,409.5,2023-04-25
31,31,31,31,31,31,31,31,31,31,31,31,28,352.1,2023-04-25
32,32,32,32,32,32,32,32,32,32,32,32,29,335.2,2023-04-25
33,33,33,33,33,33,33,33,33,33,33,33,30,387.2,2023-04-25
34,34,34,34,34,34,34,34,34,34,34,34,30,445.3,2023-04-25
35,35,35,35,35,35,35,35,35,35,35,35,30,440.5,2023-04-25
36,36,36,36,36,36,36,36,36,36,36,36,30,715.3,2023-04-25
37,37,37,37,37,37,37,37,37,37,37,37,30,468.3,2023-04-25
38,38,38,38,38,38,38,38,38,38,38,38,29,410.0,2023-04-25
39,39,39,39,39,39,39,39,39,39,39,39,28,311.4,2023-04-25
40,40,40,40,40,40,40,40,40,40,40,40,30,576.3,2023-04-25
41,41,41,41,41,41,41,41,41,41,41,41,30,497.4,2023-04-25
42,42,42,42,42,42,42,42,42,42,42,42,30,599.2,2023-04-25
43,43,43,43,43,43,43,43,43,43,43,43,28,333.6,2023-04-25
44,44,44,44,44,44,44,44,44,44,44,44,30,399.8,2023-04-25
45,45,45,45,45,45,45,45,45,45,45,45,29,419.9,2023-04-25
46,46,46,46,46,46,46,46,46,46,46,46,30,534.0,2023-04-25
47,47,47,47,47,47,47,47,47,47,47,47,30,452.5,2023-04-25
48,48,48,48,48,48,48,48,48,48,48,48,30,522.0,2023-04-25
49,49,49,49,49,49,49,49,49,49,49,49,30,484.3,2023-04-25
50,50,50,50,50,50,50,50,50,50,50,50,30,511.3,2023-04-25
51,51,51,51,51,51,51,51,51,51,51,51,30,506.6,2023-04-25
52,52,52,52,52,52,52,52,52,52,52,52,30,486.0,2023-04-25
53,53,53,53,53,53,53,53,53,53,53,53,30,518.4,2023-04-25
54,54,54,54,54,54,54,54,54,54,54,54,30,420.0,2023-04-25
55,55,55,55,55,55,55,55,55,55,55,55,30,436.6,2023-04-25
56,56,56,56,56,56,56,56,56,56,56,56,27,322.9,2023-04-25
57,57,57,57,57,57,57,57,57,57,57,57,26,298.2,2023-04-25
58,58,58,58,58,58,58,58,58,58,58,58,30,393.2,2023-04-25
59,59,59,59,59,59,59,59,59,59,59,59,29,365.5,2023-04-25
60,60,60,60,60,60,60,60,60,60,60,60,30,340.9,2023-04-25
61,61,61,61,61,61,61,61,61,61,61,61,27,355.6,2023-04-25
62,62,62,62,62,62,62,62,62,62,62,62,29,414.5,2023-04-25
63,63,63,63,63,63,63,63,63,63,63,63,30,47.0,2023-04-25
64,64,64,64,64,64,64,64,64,64,64,64,29,328.5,2023-04-25
65,65,65,65,65,65,65,65,65,65,65,65,29,409.3,2023-04-25
66,66,66,66,66,66,66,66,66,66,66,66,29,418.2,2023-04-25
67,67,67,67,67,67,67,67,67,67,67,67,29,402.1,2023-04-25
