Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,30,472.2,2023-06-02
1,1,1,1,1,1,30,585.4,2023-06-02
2,2,2,2,2,2,30,646.0,2023-06-02
3,3,3,3,3,3,30,663.6,2023-06-02
4,4,4,4,4,4,30,637.7,2023-06-02
5,5,5,5,5,5,23,201.4,2023-06-02
6,6,6,6,6,6,30,667.1,2023-06-02
7,7,7,7,7,7,30,675.0,2023-06-02
8,8,8,8,8,8,30,580.3,2023-06-02
9,9,9,9,9,9,30,487.0,2023-06-02
10,10,10,10,10,10,30,656.0,2023-06-02
11,11,11,11,11,11,30,761.3,2023-06-02
12,12,12,12,12,12,30,481.6,2023-06-02
13,13,13,13,13,13,28,443.0,2023-06-02
14,14,14,14,14,14,30,486.8,2023-06-02
15,15,15,15,15,15,28,535.4,2023-06-02
16,16,16,16,16,16,20,75.8,2023-06-02
17,17,17,17,17,17,27,337.2,2023-06-02
18,18,18,18,18,18,27,372.7,2023-06-02
19,19,19,19,19,19,30,508.3,2023-06-02
20,20,20,20,20,20,27,337.3,2023-06-02
21,21,21,21,21,21,28,353.8,2023-06-02
22,22,22,22,22,22,25,342.9,2023-06-02
23,23,23,23,23,23,30,664.4,2023-06-02
24,24,24,24,24,24,27,317.1,2023-06-02
25,25,25,25,25,25,29,433.2,2023-06-02
26,26,26,26,26,26,30,635.9,2023-06-02
27,27,27,27,27,27,30,491.2,2023-06-02
28,28,28,28,28,28,30,515.7,2023-06-02
29,29,29,29,29,29,29,397.1,2023-06-02
30,30,30,30,30,30,28,448.9,2023-06-02
31,31,31,31,31,31,30,469.7,2023-06-02
32,32,32,32,32,32,29,343.1,2023-06-02
33,33,33,33,33,33,26,235.8,2023-06-02
34,34,34,34,34,34,30,523.7,2023-06-02
35,35,35,35,35,35,30,465.9,2023-06-02
36,36,36,36,36,36,27,422.8,2023-06-02
37,37,37,37,37,37,20,85.9,2023-06-02
38,38,38,38,38,38,24,322.9,2023-06-02
39,39,39,39,39,39,23,211.8,2023-06-02
40,40,40,40,40,40,30,626.2,2023-06-02
41,41,41,41,41,41,27,293.7,2023-06-02
42,42,42,42,42,42,30,482.9,2023-06-02
43,43,43,43,43,43,26,290.1,2023-06-02
44,44,44,44,44,44,22,117.2,2023-06-02
45,45,45,45,45,45,27,287.0,2023-06-02
46,46,46,46,46,46,19,43.9,2023-06-02
47,47,47,47,47,47,29,361.1,2023-06-02
48,48,48,48,48,48,18,42.5,2023-06-02
49,49,49,49,49,49,24,189.9,2023-06-02
50,50,50,50,50,50,20,7.0,2023-06-02
51,51,51,51,51,51,26,224.2,2023-06-02
52,52,52,52,52,52,25,258.7,2023-06-02
53,53,53,53,53,53,26,271.8,2023-06-02
54,54,54,54,54,54,13,22.4,2023-06-02
55,55,55,55,55,55,27,279.5,2023-06-02
56,56,56,56,56,56,22,150.2,2023-06-02
57,57,57,57,57,57,27,316.4,2023-06-02
58,58,58,58,58,58,25,239.6,2023-06-02
59,59,59,59,59,59,23,246.2,2023-06-02
60,60,60,60,60,60,26,306.5,2023-06-02
61,61,61,61,61,61,24,227.7,2023-06-02
62,62,62,62,62,62,25,267.4,2023-06-02
63,63,63,63,63,63,24,196.3,2023-06-02
64,64,64,64,64,64,26,307.8,2023-06-02
65,65,65,65,65,65,24,168.7,2023-06-02
66,66,66,66,66,66,21,99.1,2023-06-02
