Unnamed: 0,Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point,Similarity
0,S2,かるだの,34400,True,S24,和敬静寂,32379,0
1,S5,奇兵隊,30028,True,S25,天上天下,28800,2
2,S3,紅蓮の刃,27800,False,S4,毘沙門天,29100,2
3,S1,すき焼き同盟,32260,True,S10,威風堂々,31072,2
4,S15,一網打尽,32200,False,S7,風林火山,35000,2
5,S8,おつかべ同盟,34340,True,S1,ショッカー,32826,0
6,S4,多趣味の暇人,30000,False,S6,鬼ヶ島,31067,2
7,S27,百鬼夜行鳳凰,30000,True,S1,炎上軍,29600,2
8,S13,孤軍奮闘,34400,True,S17,赤兎馬,34531,2
9,S20,絆,32174,False,S2,天下蒼生,32500,2
10,S25,勝鬨で候,27800,False,S19,乙女桔梗,28668,2
11,S9,傾奇者,32200,False,S11,しす派,37700,2
12,S11,しす派,38800,True,S9,傾奇者,33300,2
13,S4,涼風一陣,36600,True,S23,神乃一族,32300,2
14,S6,鬼ヶ島,32167,True,S4,多趣味の暇人,31100,2
15,S10,威風堂々,29972,False,S1,すき焼き同盟,31160,2
16,S34,九州探題,31700,True,S34,最後の晩餐,30800,2
17,S32,金色夜叉,27300,False,S9,傾奇者皇,28400,2
18,S12,土佐の山間,27296,False,S15,覇将府,27900,2
19,S9,傾奇者皇,29500,True,S32,金色夜叉,28400,2
20,S26,鷹の団,29500,True,S6,黄昏の旅団,28400,2
21,S21,新日薙帝國,31586,True,S8,アルナ軍,29800,2
22,S12,風林火山,27300,True,S20,遊嬉宴楽,26313,2
23,S3,円山動物園,31700,True,S16,長宗我部赤鎧,29600,0
24,S7,風林火山,36100,True,S15,一網打尽,33300,2
25,S16,天下一品,29500,False,S28,百花繚乱,31000,2
26,S1,ショッカー,31726,False,S8,おつかべ同盟,33240,0
27,S8,九州同盟,29500,False,S14,楽園,31300,2
28,S1,sakura,33900,True,S3,姫桜,35033,2
29,S7,合肥,31700,True,S18,RAVENS,31500,2
30,S6,黄昏の旅団,27300,False,S26,鷹の団,28400,2
31,S3,姫桜,33933,False,S1,sakura,32800,2
32,S4,如水,31121,False,S25,漢隊,31300,2
33,S24,和敬静寂,31279,False,S2,かるだの,33300,0
34,S15,覇将府,29000,True,S12,土佐の山間,28396,2
