Unnamed: 0,Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point,Similarity
0,S2,かるだの,34400,True,S4,多趣味の暇人,33300,0
1,S5,奇兵隊,30000,True,S10,魔苦土那瑠怒,28800,2
2,S3,紅蓮の刃,30000,True,S26,鷹の団,28400,2
3,S1,すき焼き同盟,30000,False,S3,姫桜,30633,2
4,S15,一網打尽,32200,True,S1,sakura,32800,0
5,S8,おつかべ同盟,30000,False,S11,しす派,33300,2
6,S4,多趣味の暇人,32200,False,S2,かるだの,33300,0
7,S27,百鬼夜行鳳凰,30000,True,S25,勝鬨で候,28900,2
8,S13,孤軍奮闘,32200,True,S23,神乃一族,32300,2
9,S20,絆,34400,True,S6,鬼ヶ島,31067,2
10,S25,勝鬨で候,27800,False,S27,百鬼夜行鳳凰,28900,2
11,S9,傾奇者,32200,False,S4,涼風一陣,31100,2
12,S11,しす派,34400,True,S8,おつかべ同盟,31100,2
13,S4,涼風一陣,32200,True,S9,傾奇者,33300,2
14,S6,鬼ヶ島,29967,False,S20,絆,33300,2
15,S10,威風堂々,27800,False,S13,明鏡止水,29600,2
16,S34,九州探題,27300,False,S34,最後の晩餐,28600,2
17,S32,金色夜叉,29500,True,S22,幸運の大桜,27900,2
18,S12,土佐の山間,27296,False,S8,和気藹々,28100,2
19,S9,傾奇者皇,31700,True,S22,ゆる〜く,30100,2
20,S26,鷹の団,27300,False,S3,紅蓮の刃,28900,2
21,S21,新日薙帝國,29412,False,S10,武装戦線,30108,2
22,S12,風林火山,25100,False,S8,羅針盤,25900,2
23,S3,円山動物園,29500,True,S17,九州天皇會,28100,0
24,S7,風林火山,33900,True,S25,漢隊,31300,2
25,S16,天下一品,29500,True,S19,鬼島津,28600,2
26,S1,ショッカー,31700,True,S10,一人旅,30061,2
27,S8,九州同盟,31700,True,S4,河童衆,30100,2
28,S1,sakura,31700,False,S15,一網打尽,31100,0
29,S7,合肥,31700,True,S29,九州総統連合,30100,2
30,S6,黄昏の旅団,29500,False,S17,赤兎馬,30131,2
31,S3,姫桜,31733,True,S1,すき焼き同盟,31100,2
32,S4,如水,31121,True,S15,覇将府,30100,2
33,S24,和敬静寂,29079,True,S4,RED,27900,2
34,S15,覇将府,29000,False,S4,如水,30021,2
35,S4,百万一心,29000,True,S21,蟹江警備隊,27900,2
36,S22,ゆる〜く,31200,True,S9,傾奇者皇,30600,2
37,S22,幸運の大桜,26800,False,S32,金色夜叉,28400,2
38,S21,蟹江警備隊,26800,False,S4,百万一心,27900,2
39,S4,RED,26800,False,S24,和敬静寂,27979,2
40,S23,神乃一族,31200,False,S13,孤軍奮闘,31100,0
41,S1,夜月風雪,29088,True,S38,爆弾一味,28100,2
42,S1,風の如く,29000,False,S2,天下蒼生,30300,2
43,S10,一人旅,28961,False,S1,ショッカー,30600,2
44,S4,河童衆,29000,False,S8,九州同盟,30600,2
45,S29,九州総統連合,29000,False,S7,合肥,30600,2
46,S10,武装戦線,31208,True,S21,新日薙帝國,30512,2
47,S17,赤兎馬,31231,True,S6,黄昏の旅団,30600,2
48,S10,千本桜零鬼,28500,False,S18,RAVENS,29300,2
49,S16,長宗我部赤鎧,28500,True,S1,炎上軍,27400,2
50,S2,エゴイスト,28523,True,S19,乱舞,27400,2
51,S8,大日本帝國,30677,True,S18,TITANS,29800,2
52,S26,倭寇,28500,True,S16,雅,27600,2
53,S13,明鏡止水,30700,True,S10,威風堂々,28900,2
54,S19,乱舞,26300,False,S2,エゴイスト,27423,2
55,S7,続、不協和音,24100,False,S27,不倶戴天,25400,2
56,S5,源氏一族2部,28500,False,S18,TITANS,29600,2
57,S18,TITANS,30700,True,S5,源氏一族2部,29600,2
58,S28,戦国の花,30700,True,S8,天地不焦肆国,29240,2
59,S24,24鯖代表,26300,False,S27,遊楽庵,27100,2
60,S37,疾風迅雷,30700,True,S13,自由の翼,29100,2
61,S14,四国連合,26300,False,S28,倭国,27100,2
62,S1,炎上軍,26300,False,S16,長宗我部赤鎧,27400,2
63,S7,歌舞伎衆,24100,False,S13,【和華】,25400,2
64,S6,化楽天,28000,True,S5,臥龍戴天,26404,2
65,S31,八咫烏,28037,True,S14,満足同盟,27100,0
66,S14,楽園,30200,True,S2,東南の風,29063,2
67,S16,八咫烏,25800,False,S20,遊嬉宴楽,26400,2
68,S2,東南の風,27963,False,S14,楽園,29100,2
69,S17,BASARA,25800,True,S8,天道,22200,2
70,S9,魔の巣,28000,True,S8,鎌倉幕府,26900,2
71,S13,自由の翼,28000,False,S37,疾風迅雷,29600,2
72,S8,鎌倉幕府,25800,False,S9,魔の巣,26900,2
73,S9,FM807,28000,True,S6,素寒貧,27100,2
74,S30,閻魔,28000,True,S12,四国万来,26600,2
75,S4,毘沙門天,28000,True,S21,花火百景,27100,2
76,S40,龍谷山,28000,False,S6,里見八犬伝,29100,2
77,S9,月下翼松,25800,True,S1,巨砲爆裂,24400,2
78,S6,里見八犬伝,30200,True,S40,龍谷山,29100,2
79,S25,漢隊,30200,False,S7,風林火山,32800,2
80,S20,遊嬉宴楽,27500,True,S16,八咫烏,26900,2
81,S9,武装農民,27500,True,S26,桜花乱舞,25900,2
82,S14,ジェダイ,25300,False,S5,白虎隊,26400,2
83,S19,鬼島津,27500,False,S16,天下一品,28400,2
84,S36,おもち,27500,True,S37,威風凛々,25900,2
85,S14,念仏喫茶,27500,False,S2,かるだの,28600,2
86,S11,関東ニャン組,29700,True,S14,念仏喫茶,28600,0
87,S19,乙女桔梗,27500,False,S8,システマ,28800,2
88,S5,白虎隊,27500,True,S14,ジェダイ,26400,2
89,S5,臥龍戴天,25304,False,S6,化楽天,26900,2
90,S6,創造主,27500,True,S3,夜桜,25900,2
91,S4,太陽の子,27500,True,S12,薔薇の獅子団,25900,2
92,S3,成田長親,27500,False,S28,百花繚乱,28800,2
93,S23,鬼神,27500,True,S25,梅の花,25900,2
94,S27,空中庭園,23100,False,S13,Lily,24400,2
95,S34,最後の晩餐,27500,False,S34,九州探題,28400,2
96,S26,桜花乱舞,24800,False,S9,武装農民,26400,2
97,S35,光風霽月,24800,False,S30,秦国,25400,2
98,S37,威風凛々,24800,False,S36,おもち,26400,2
99,S3,夜桜,24800,False,S6,創造主,26400,2
100,S15,葉隠,24800,True,S21,百鬼夜行,22700,2
101,S2,天下蒼生,31400,True,S1,風の如く,30100,2
102,S36,魔法陣,26997,False,S17,極楽浄土,28100,2
103,S20,華,27003,False,S35,太郎丸,28100,2
104,S17,九州天皇會,27000,False,S3,円山動物園,28400,2
105,S38,爆弾一味,27000,False,S1,夜月風雪,27988,2
106,S12,薔薇の獅子団,24800,False,S4,太陽の子,26400,2
107,S25,梅の花,24800,False,S23,鬼神,26400,2
108,S8,羅針盤,24800,False,S12,風林火山,26200,2
109,S8,和気藹々,27000,False,S12,土佐の山間,28396,2
110,S35,太郎丸,29200,True,S20,華,28103,2
111,S17,極楽浄土,29200,True,S36,魔法陣,28097,2
112,S30,秦国,26500,True,S35,光風霽月,25900,2
113,S37,武尊会,26500,True,S26,姫のワルツ,25400,2
114,S39,風林火山,26500,True,S3,天神風,24900,2
115,S18,薔薇園,28700,False,S8,大日本帝國,29577,0
116,S8,アルナ軍,26500,False,S27,酔いどれ屋w,27100,2
117,S16,雅,26500,False,S26,倭寇,27400,2
118,S5,華笠衆,24300,False,S8,惡質,25400,2
119,S7,鸞翔鳳集,28700,True,S31,義風堂々,27600,2
120,S31,義風堂々,28700,True,S7,鸞翔鳳集,27600,2
121,S27,不倶戴天,26500,True,S7,続、不協和音,25200,2
122,S21,華光燐,24300,False,S3,神算鬼謀,24900,2
123,S36,暁,26500,False,S9,FM807,27100,2
124,S12,鎮西一,24300,False,S33,武田家,24960,2
125,S26,姫のワルツ,24300,False,S37,武尊会,25400,2
126,S8,惡質,26500,True,S5,華笠衆,25400,2
127,S13,【和華】,26500,True,S7,歌舞伎衆,25200,2
128,S27,酔いどれ屋w,28200,True,S8,アルナ軍,27600,2
129,S3,天神風,26000,True,S39,風林火山,25400,2
130,S18,RAVENS,30400,True,S10,千本桜零鬼,29600,2
131,S27,遊楽庵,26000,False,S24,24鯖代表,27400,2
132,S31,珍遊記,23800,False,S30,楽華隊,24900,2
133,S10,八咫烏,28200,True,S36,暁,27600,0
134,S8,天地不焦肆国,28140,False,S28,戦国の花,29600,2
135,S21,花火百景,26000,False,S4,毘沙門天,26900,2
136,S28,倭国,28200,True,S14,四国連合,27400,2
137,S6,赤備え,23800,False,S3,鬼兵隊,24400,2
138,S3,神算鬼謀,23800,False,S21,華光燐,25400,2
139,S30,楽華隊,26000,True,S31,珍遊記,24900,2
140,S21,百鬼夜行,23800,True,S15,葉隠,23700,2
141,S14,満足同盟,26000,False,S21,新日薙帝國,26937,2
142,S6,素寒貧,26000,False,S9,FM807,26900,2
143,S33,武田家,26060,True,S12,鎮西一,25400,2
144,S7,安芸諸国連合,25500,False,S25,天上天下,26600,2
145,S15,越後同盟,21100,False,S22,蝉時雨,22200,0
146,S13,Lily,25500,True,S27,空中庭園,24200,2
147,S16,戦国七雄,23300,True,S31,無窮の夢,24400,0
148,S10,魔苦土那瑠怒,27700,False,S5,奇兵隊,28900,2
149,S1,巨砲爆裂,23300,False,S9,月下翼松,24700,2
150,S8,システマ,29900,True,S19,乙女桔梗,28600,2
151,S25,天上天下,27700,True,S7,安芸諸国連合,26600,2
152,S28,百花繚乱,29900,True,S3,成田長親,28600,2
153,S22,蝉時雨,23300,True,S15,越後同盟,22200,0
154,S3,鬼兵隊,25500,True,S6,赤備え,24900,2
155,S8,天道,21100,False,S17,BASARA,24700,2
156,S31,無窮の夢,23300,False,S16,戦国七雄,22200,0
157,S20,北陸遊撃隊,23300,True,S1,パッショーネ,22200,2
158,S1,パッショーネ,23300,True,S20,北陸遊撃隊,22200,2
159,S12,四国万来,25500,False,S30,閻魔,26900,2
