Unnamed: 0,Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point,Similarity
0,S2,かるだの,33300,False,S7,風林火山,33900,0
1,S5,奇兵隊,31100,True,S11,関東ニャン組,29641,2
2,S3,紅蓮の刃,28900,False,S28,百花繚乱,29900,2
3,S1,すき焼き同盟,28900,False,S8,おつかべ同盟,30000,2
4,S15,一網打尽,33300,True,S2,天下蒼生,31400,2
5,S8,おつかべ同盟,31100,True,S1,すき焼き同盟,30000,2
6,S4,多趣味の暇人,33300,True,S9,傾奇者皇,31700,2
7,S27,百鬼夜行鳳凰,28900,False,S28,戦国の花,30700,2
8,S13,孤軍奮闘,31100,False,S11,しす派,34400,2
9,S20,絆,35500,True,S1,ショッカー,31700,0
10,S25,勝鬨で候,28900,True,S30,閻魔,28000,2
11,S9,傾奇者,31100,False,S4,涼風一陣,32200,2
12,S11,しす派,35500,True,S13,孤軍奮闘,32200,2
13,S4,涼風一陣,33300,True,S9,傾奇者,32200,2
14,S6,鬼ヶ島,31067,True,S17,極楽浄土,29200,2
15,S10,威風堂々,28900,True,S6,化楽天,28000,2
16,S34,九州探題,30600,True,S1,夜月風雪,29088,2
17,S32,金色夜叉,30600,True,S12,土佐の山間,29496,2
18,S12,土佐の山間,28396,False,S32,金色夜叉,29500,2
19,S9,傾奇者皇,30600,False,S4,多趣味の暇人,32200,2
20,S26,鷹の団,28400,True,S23,鬼神,27500,2
21,S21,新日薙帝國,30512,True,S16,天下一品,29500,2
22,S12,風林火山,26200,False,S6,創造主,27500,2
23,S3,円山動物園,28400,False,S6,黄昏の旅団,29500,2
24,S7,風林火山,35000,True,S2,かるだの,34400,0
25,S16,天下一品,28400,False,S21,新日薙帝國,29412,2
26,S1,ショッカー,30600,False,S20,絆,34400,0
27,S8,九州同盟,30600,False,S1,sakura,31700,2
28,S1,sakura,32800,True,S8,九州同盟,31700,2
29,S7,合肥,30600,False,S3,姫桜,31733,2
30,S6,黄昏の旅団,30600,True,S3,円山動物園,29500,2
31,S3,姫桜,32833,True,S7,合肥,31700,2
32,S4,如水,32221,True,S6,里見八犬伝,30200,2
33,S24,和敬静寂,30179,True,S15,覇将府,29000,2
34,S15,覇将府,27900,False,S24,和敬静寂,29079,2
35,S4,百万一心,30030,True,S22,ゆる〜く,29000,2
36,S22,ゆる〜く,27900,False,S4,百万一心,28930,2
37,S22,幸運の大桜,27900,True,S7,鸞翔鳳集,26500,2
38,S21,蟹江警備隊,25770,False,S8,アルナ軍,26500,2
39,S4,RED,25700,False,S8,和気藹々,27000,2
40,S23,神乃一族,30100,False,S13,明鏡止水,30700,0
41,S1,夜月風雪,27988,False,S34,九州探題,29500,2
42,S1,風の如く,30100,True,S31,義風堂々,28700,2
43,S10,一人旅,30061,True,S18,薔薇園,28700,2
44,S4,河童衆,27900,False,S26,倭寇,28500,2
45,S29,九州総統連合,27900,False,S16,長宗我部赤鎧,28500,2
46,S10,武装戦線,30108,False,S25,漢隊,30200,2
47,S17,赤兎馬,32331,True,S8,大日本帝國,30677,2
48,S10,千本桜零鬼,27400,False,S2,エゴイスト,28523,2
49,S16,長宗我部赤鎧,29600,True,S29,九州総統連合,29000,2
50,S2,エゴイスト,29623,True,S10,千本桜零鬼,28500,2
51,S8,大日本帝國,29577,False,S17,赤兎馬,31231,2
52,S26,倭寇,29600,True,S4,河童衆,29000,2
53,S13,明鏡止水,31800,True,S23,鬼神,31200,2
54,S19,乱舞,25200,False,S33,武田家,26060,2
55,S7,続、不協和音,23000,False,S21,百鬼夜行,23800,2
56,S5,源氏一族2部,29600,True,S24,24鯖代表,28500,2
57,S18,TITANS,31800,True,S37,疾風迅雷,30700,2
58,S28,戦国の花,31800,True,S27,百鬼夜行鳳凰,30000,2
59,S24,24鯖代表,27400,False,S5,源氏一族2部,28500,2
60,S37,疾風迅雷,29600,False,S18,TITANS,30700,2
61,S14,四国連合,27400,True,S3,神算鬼謀,26000,2
62,S1,炎上軍,27400,True,S27,遊楽庵,26000,2
63,S7,歌舞伎衆,25200,True,S31,珍遊記,23800,2
64,S6,化楽天,26900,False,S10,威風堂々,27800,2
65,S31,八咫烏,26937,False,S4,毘沙門天,28000,2
66,S14,楽園,29100,False,S18,RAVENS,30400,2
67,S16,八咫烏,24700,False,S30,楽華隊,26000,2
68,S2,東南の風,26863,False,S10,八咫烏,28200,2
69,S17,BASARA,24700,False,S7,安芸諸国連合,25500,2
70,S9,魔の巣,29100,True,S10,魔苦土那瑠怒,27700,2
71,S13,自由の翼,29100,True,S9,FM807,28000,2
72,S8,鎌倉幕府,24700,False,S6,素寒貧,26000,2
73,S9,FM807,26900,False,S13,自由の翼,28000,2
74,S30,閻魔,26900,False,S25,勝鬨で候,27800,2
75,S4,毘沙門天,29100,True,S31,八咫烏,28037,2
76,S40,龍谷山,29100,True,S8,天地不焦肆国,28140,2
77,S9,月下翼松,26900,True,S3,天神風,26000,2
78,S6,里見八犬伝,29100,False,S4,如水,31121,2
79,S25,漢隊,31300,True,S10,武装戦線,31208,2
80,S20,遊嬉宴楽,28600,True,S9,武装農民,27500,2
81,S9,武装農民,26400,False,S20,遊嬉宴楽,27500,2
82,S14,ジェダイ,24200,False,S26,桜花乱舞,24800,2
83,S19,鬼島津,26400,False,S34,最後の晩餐,27500,2
84,S36,おもち,28600,True,S19,乙女桔梗,27568,2
85,S14,念仏喫茶,28659,True,S5,白虎隊,27500,2
86,S11,関東ニャン組,28541,False,S5,奇兵隊,30000,2
87,S19,乙女桔梗,26468,False,S36,おもち,27500,2
88,S5,白虎隊,26400,False,S14,念仏喫茶,27559,2
89,S5,臥龍戴天,26404,True,S8,羅針盤,24800,2
90,S6,創造主,28600,True,S12,風林火山,27300,2
91,S4,太陽の子,26400,False,S3,成田長親,27500,2
92,S3,成田長親,28600,True,S4,太陽の子,27500,2
93,S23,鬼神,26400,False,S26,鷹の団,27300,2
94,S27,空中庭園,22000,False,S22,蝉時雨,23300,0
95,S34,最後の晩餐,28600,True,S19,鬼島津,27500,2
96,S26,桜花乱舞,25900,True,S14,ジェダイ,25300,2
97,S35,光風霽月,25900,True,S25,梅の花,24800,2
98,S37,威風凛々,25900,True,S13,Lily,25500,2
99,S3,夜桜,23700,False,S12,薔薇の獅子団,24800,2
100,S15,葉隠,21500,False,S1,巨砲爆裂,23300,0
101,S2,天下蒼生,30300,False,S15,一網打尽,32200,2
102,S36,魔法陣,25897,False,S17,九州天皇會,27000,2
103,S20,華,25903,False,S25,天上天下,27700,2
104,S17,九州天皇會,28100,True,S36,魔法陣,26997,2
105,S38,爆弾一味,25900,False,S30,秦国,26500,2
106,S12,薔薇の獅子団,25900,True,S3,夜桜,24800,2
