,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,30,570.8,2023-05-24
1,1,1,30,591.9,2023-05-24
2,2,2,30,540.8,2023-05-24
3,3,3,30,420.3,2023-05-24
4,4,4,30,543.6,2023-05-24
5,5,5,30,650.6,2023-05-24
6,6,6,30,566.6,2023-05-24
7,7,7,30,474.5,2023-05-24
8,8,8,30,465.7,2023-05-24
9,9,9,30,441.3,2023-05-24
10,10,10,30,391.0,2023-05-24
11,11,11,25,171.1,2023-05-24
12,12,12,30,446.8,2023-05-24
13,13,13,29,294.9,2023-05-24
14,14,14,30,428.2,2023-05-24
15,15,15,29,362.6,2023-05-24
16,16,16,30,643.5,2023-05-24
17,17,17,30,449.2,2023-05-24
18,18,18,29,353.5,2023-05-24
19,19,19,28,330.4,2023-05-24
20,20,20,29,395.1,2023-05-24
21,21,21,30,490.8,2023-05-24
22,22,22,29,370.0,2023-05-24
23,23,23,30,432.2,2023-05-24
24,24,24,30,6.0,2023-05-24
25,25,25,23,180.3,2023-05-24
26,26,26,30,595.1,2023-05-24
27,27,27,29,256.6,2023-05-24
28,28,28,26,352.7,2023-05-24
29,29,29,29,260.8,2023-05-24
30,30,30,30,471.1,2023-05-24
31,31,31,30,309.4,2023-05-24
32,32,32,30,554.8,2023-05-24
33,33,33,28,384.4,2023-05-24
34,34,34,27,260.7,2023-05-24
35,35,35,29,475.4,2023-05-24
36,36,36,27,378.3,2023-05-24
37,37,37,30,453.6,2023-05-24
38,38,38,30,490.3,2023-05-24
39,39,39,29,388.1,2023-05-24
40,40,40,27,308.2,2023-05-24
41,41,41,28,325.1,2023-05-24
42,42,42,30,452.3,2023-05-24
43,43,43,30,451.6,2023-05-24
44,44,44,25,330.8,2023-05-24
45,45,45,28,452.9,2023-05-24
46,46,46,29,326.3,2023-05-24
47,47,47,30,557.7,2023-05-24
48,48,48,29,359.8,2023-05-24
49,49,49,30,398.5,2023-05-24
50,50,50,29,419.8,2023-05-24
51,51,51,27,389.1,2023-05-24
52,52,52,30,554.6,2023-05-24
53,53,53,30,293.4,2023-05-24
54,54,54,28,409.1,2023-05-24
55,55,55,29,384.3,2023-05-24
56,56,56,30,490.8,2023-05-24
57,57,57,30,505.9,2023-05-24
58,58,58,30,497.6,2023-05-24
59,59,59,30,423.7,2023-05-24
60,60,60,30,424.3,2023-05-24
61,61,61,27,260.2,2023-05-24
62,62,62,29,371.9,2023-05-24
63,63,63,30,623.1,2023-05-24
64,64,64,30,751.6,2023-05-24
65,65,65,25,211.7,2023-05-24
66,66,66,28,326.9,2023-05-24
