,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,30,486.8,2023-05-21
1,1,1,1,1,1,1,1,30,601.8,2023-05-21
2,2,2,2,2,2,2,2,30,523.3,2023-05-21
3,3,3,3,3,3,3,3,30,570.7,2023-05-21
4,4,4,4,4,4,4,4,30,552.6,2023-05-21
5,5,5,5,5,5,5,5,30,380.0,2023-05-21
6,6,6,6,6,6,6,6,29,461.5,2023-05-21
7,7,7,7,7,7,7,7,28,323.9,2023-05-21
8,8,8,8,8,8,8,8,30,637.3,2023-05-21
9,9,9,9,9,9,9,9,30,374.2,2023-05-21
10,10,10,10,10,10,10,10,30,402.3,2023-05-21
11,11,11,11,11,11,11,11,30,604.7,2023-05-21
12,12,12,12,12,12,12,12,30,462.9,2023-05-21
13,13,13,13,13,13,13,13,28,486.8,2023-05-21
14,14,14,14,14,14,14,14,30,378.1,2023-05-21
15,15,15,15,15,15,15,15,30,507.3,2023-05-21
16,16,16,16,16,16,16,16,30,381.6,2023-05-21
17,17,17,17,17,17,17,17,29,447.1,2023-05-21
18,18,18,18,18,18,18,18,29,482.6,2023-05-21
19,19,19,19,19,19,19,19,30,476.9,2023-05-21
20,20,20,20,20,20,20,20,28,363.2,2023-05-21
21,21,21,21,21,21,21,21,29,449.0,2023-05-21
22,22,22,22,22,22,22,22,30,435.1,2023-05-21
23,23,23,23,23,23,23,23,25,121.9,2023-05-21
24,24,24,24,24,24,24,24,30,415.2,2023-05-21
25,25,25,25,25,25,25,25,30,585.1,2023-05-21
26,26,26,26,26,26,26,26,30,430.9,2023-05-21
27,27,27,27,27,27,27,27,29,362.9,2023-05-21
28,28,28,28,28,28,28,28,27,315.9,2023-05-21
29,29,29,29,29,29,29,29,29,399.2,2023-05-21
30,30,30,30,30,30,30,30,30,495.7,2023-05-21
31,31,31,31,31,31,31,31,30,415.6,2023-05-21
32,32,32,32,32,32,32,32,30,441.2,2023-05-21
33,33,33,33,33,33,33,33,28,292.3,2023-05-21
34,34,34,34,34,34,34,34,25,325.6,2023-05-21
35,35,35,35,35,35,35,35,29,336.4,2023-05-21
36,36,36,36,36,36,36,36,23,197.9,2023-05-21
37,37,37,37,37,37,37,37,29,410.5,2023-05-21
38,38,38,38,38,38,38,38,30,424.8,2023-05-21
39,39,39,39,39,39,39,39,28,352.6,2023-05-21
40,40,40,40,40,40,40,40,30,339.4,2023-05-21
41,41,41,41,41,41,41,41,29,359.7,2023-05-21
42,42,42,42,42,42,42,42,29,295.1,2023-05-21
43,43,43,43,43,43,43,43,24,286.4,2023-05-21
44,44,44,44,44,44,44,44,30,455.9,2023-05-21
45,45,45,45,45,45,45,45,30,484.7,2023-05-21
46,46,46,46,46,46,46,46,29,368.6,2023-05-21
47,47,47,47,47,47,47,47,30,367.2,2023-05-21
48,48,48,48,48,48,48,48,30,479.2,2023-05-21
49,49,49,49,49,49,49,49,30,449.2,2023-05-21
50,50,50,50,50,50,50,50,28,282.5,2023-05-21
51,51,51,51,51,51,51,51,27,356.0,2023-05-21
52,52,52,52,52,52,52,52,27,243.7,2023-05-21
53,53,53,53,53,53,53,53,29,299.7,2023-05-21
54,54,54,54,54,54,54,54,30,448.1,2023-05-21
55,55,55,55,55,55,55,55,27,188.2,2023-05-21
56,56,56,56,56,56,56,56,30,381.8,2023-05-21
