,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,30,584.0,2023-05-21
1,1,1,1,1,1,1,1,1,30,614.6,2023-05-21
2,2,2,2,2,2,2,2,2,30,563.4,2023-05-21
3,3,3,3,3,3,3,3,3,30,615.1,2023-05-21
4,4,4,4,4,4,4,4,4,30,578.6,2023-05-21
5,5,5,5,5,5,5,5,5,30,456.4,2023-05-21
6,6,6,6,6,6,6,6,6,30,447.9,2023-05-21
7,7,7,7,7,7,7,7,7,28,424.5,2023-05-21
8,8,8,8,8,8,8,8,8,28,503.2,2023-05-21
9,9,9,9,9,9,9,9,9,30,420.8,2023-05-21
10,10,10,10,10,10,10,10,10,30,485.0,2023-05-21
11,11,11,11,11,11,11,11,11,29,387.8,2023-05-21
12,12,12,12,12,12,12,12,12,25,250.1,2023-05-21
13,13,13,13,13,13,13,13,13,28,400.5,2023-05-21
14,14,14,14,14,14,14,14,14,27,417.1,2023-05-21
15,15,15,15,15,15,15,15,15,29,404.8,2023-05-21
16,16,16,16,16,16,16,16,16,29,454.4,2023-05-21
17,17,17,17,17,17,17,17,17,27,439.6,2023-05-21
18,18,18,18,18,18,18,18,18,30,438.7,2023-05-21
19,19,19,19,19,19,19,19,19,30,473.0,2023-05-21
20,20,20,20,20,20,20,20,20,29,410.8,2023-05-21
21,21,21,21,21,21,21,21,21,27,357.8,2023-05-21
22,22,22,22,22,22,22,22,22,29,400.0,2023-05-21
23,23,23,23,23,23,23,23,23,28,346.0,2023-05-21
24,24,24,24,24,24,24,24,24,27,318.3,2023-05-21
25,25,25,25,25,25,25,25,25,28,309.5,2023-05-21
26,26,26,26,26,26,26,26,26,27,341.5,2023-05-21
27,27,27,27,27,27,27,27,27,28,393.1,2023-05-21
28,28,28,28,28,28,28,28,28,27,430.7,2023-05-21
29,29,29,29,29,29,29,29,29,29,360.9,2023-05-21
30,30,30,30,30,30,30,30,30,25,303.4,2023-05-21
31,31,31,31,31,31,31,31,31,29,353.5,2023-05-21
32,32,32,32,32,32,32,32,32,27,335.0,2023-05-21
33,33,33,33,33,33,33,33,33,28,411.0,2023-05-21
34,34,34,34,34,34,34,34,34,28,294.7,2023-05-21
35,35,35,35,35,35,35,35,35,27,383.4,2023-05-21
36,36,36,36,36,36,36,36,36,29,318.6,2023-05-21
37,37,37,37,37,37,37,37,37,26,272.9,2023-05-21
38,38,38,38,38,38,38,38,38,29,385.0,2023-05-21
39,39,39,39,39,39,39,39,39,25,304.5,2023-05-21
40,40,40,40,40,40,40,40,40,27,333.6,2023-05-21
41,41,41,41,41,41,41,41,41,27,312.2,2023-05-21
42,42,42,42,42,42,42,42,42,27,330.1,2023-05-21
43,43,43,43,43,43,43,43,43,25,282.6,2023-05-21
44,44,44,44,44,44,44,44,44,28,366.3,2023-05-21
