,Unnamed: 0,level,power,date
0,0,30,524.5,2023-05-27
1,1,30,427.6,2023-05-27
2,2,29,377.6,2023-05-27
3,3,29,404.4,2023-05-27
4,4,29,440.4,2023-05-27
5,5,29,382.8,2023-05-27
6,6,29,366.7,2023-05-27
7,7,28,387.7,2023-05-27
8,8,29,381.1,2023-05-27
9,9,27,317.2,2023-05-27
10,10,28,322.3,2023-05-27
11,11,29,373.1,2023-05-27
12,12,29,350.8,2023-05-27
13,13,26,215.6,2023-05-27
14,14,29,426.1,2023-05-27
15,15,29,438.1,2023-05-27
16,16,30,474.8,2023-05-27
17,17,26,268.3,2023-05-27
18,18,26,300.9,2023-05-27
19,19,30,417.4,2023-05-27
20,20,30,473.6,2023-05-27
21,21,30,615.5,2023-05-27
22,22,28,346.3,2023-05-27
23,23,29,401.8,2023-05-27
24,24,30,405.9,2023-05-27
25,25,28,362.1,2023-05-27
26,26,29,368.4,2023-05-27
27,27,29,395.4,2023-05-27
28,28,28,321.5,2023-05-27
29,29,24,166.5,2023-05-27
30,30,28,314.7,2023-05-27
31,31,30,455.7,2023-05-27
32,32,26,352.5,2023-05-27
33,33,27,359.9,2023-05-27
34,34,22,129.8,2023-05-27
35,35,30,562.7,2023-05-27
36,36,29,351.4,2023-05-27
37,37,28,350.1,2023-05-27
38,38,26,314.5,2023-05-27
39,39,26,338.5,2023-05-27
40,40,26,270.2,2023-05-27
41,41,27,307.8,2023-05-27
42,42,25,214.6,2023-05-27
43,43,27,333.1,2023-05-27
44,44,27,313.2,2023-05-27
45,45,28,304.5,2023-05-27
46,46,27,303.1,2023-05-27
47,47,28,288.8,2023-05-27
48,48,26,190.0,2023-05-27
49,49,26,226.5,2023-05-27
50,50,29,387.5,2023-05-27
51,51,30,473.4,2023-05-27
52,52,30,408.9,2023-05-27
53,53,24,247.7,2023-05-27
54,54,24,239.2,2023-05-27
55,55,29,411.5,2023-05-27
56,56,28,322.4,2023-05-27
57,57,27,355.9,2023-05-27
58,58,27,233.7,2023-05-27
59,59,28,273.9,2023-05-27
60,60,29,334.1,2023-05-27
