,Server,Name,Point,Winner,Opp_team_server,Opp_team_name,Opp_team_point,Similarity
0,S45,聖帝銃士隊,20000,False,S50,玉砕,20000,0
1,S50,玉砕,20000,True,S45,聖帝銃士隊,20000,0
2,S45,関東警備,20000,True,S38,白虎,20000,0
3,S38,白虎,20000,False,S45,関東警備,20000,0
4,S43,コアラの行進,20000,True,S39,翼君,20000,2
5,S39,翼君,20000,False,S43,コアラの行進,20000,2
6,S17,覇王,0,-1,0,0,0,0
7,S48,加賀百万石,20000,True,S7,駿河,20000,2
8,S48,鷹の団,20000,True,S1,鬼神同盟,20000,2
9,S1,鬼神同盟,20000,False,S48,鷹の団,20000,2
10,S5,辺張上等,20000,False,S7,駿河,20000,2
11,S7,駿河,20000,True,S5,辺張上等,20000,2
12,S42,朱雀,20000,True,S37,深山幽谷,20000,2
13,S37,深山幽谷,20000,False,S42,朱雀,20000,2
14,S42,網走幼稚園,20000,True,S9,花鳥風月,20000,2
15,S9,花鳥風月,20000,False,S42,網走幼稚園,20000,2
16,S35,上杉家,19500,False,S5,新撰組,19500,2
17,S5,新撰組,19500,True,S35,上杉家,19500,2
18,S48,行雲流水,19500,True,S37,飛信隊,19500,2
19,S37,飛信隊,19500,False,S48,行雲流水,19500,2
20,S44,千の風に,19500,False,S23,天衣無縫,19500,2
21,S23,天衣無縫,19500,True,S44,千の風に,19500,2
22,S21,DDD,19500,False,S27,桜本隊大本営,19500,2
23,S27,桜本隊大本営,19500,True,S21,DDD,19500,2
24,S42,獏羅天,19500,False,S40,チカニバル,19500,2
25,S40,チカニバル,19500,True,S42,獏羅天,19500,2
26,S47,義楽庵,19500,True,S2,花ch,19500,2
27,S2,花ch,19500,False,S47,義楽庵,19500,2
28,S39,花鳥風月,19500,True,S33,百万石猫侍,19500,2
29,S33,百万石猫侍,19500,False,S39,花鳥風月,19500,2
30,S2,相模国,19500,False,S8,暇潰倶楽部,19500,2
31,S8,暇潰倶楽部,19500,True,S2,相模国,19500,2
32,S38,ヤックル,19000,True,S44,毘沙門天,19000,2
33,S44,毘沙門天,19000,False,S38,ヤックル,19000,2
34,S15,乱世之奸雄,19000,False,S45,朱雀,19000,2
35,S45,朱雀,19000,True,S15,乱世之奸雄,19000,2
36,S41,はのはの,19000,False,S45,英国国教会,19000,2
37,S45,英国国教会,19000,True,S41,はのはの,19000,2
38,S7,百万一心,19000,False,S48,新生松下村塾,19000,2
39,S48,新生松下村塾,19000,True,S7,百万一心,19000,2
40,S41,天真爛漫,19000,False,S50,雲心月性,19000,2
41,S50,雲心月性,19000,True,S41,天真爛漫,19000,2
42,S1,五穀豊穣,19000,False,S44,蒼天,19000,2
43,S44,蒼天,19000,True,S1,五穀豊穣,19000,2
44,S17,天下無双,19000,False,S46,〜燎〜,19000,2
45,S46,〜燎〜,19000,True,S17,天下無双,19000,2
46,S19,新撰組,19000,True,S43,バリカン団,19000,2
47,S43,バリカン団,19000,False,S19,新撰組,19000,2
48,S31,鏡華水月,8500,False,S29,月華雷鳴,8500,2
49,S29,月華雷鳴,8500,True,S31,鏡華水月,8500,2
50,S51,猪鹿蝶,8500,True,S49,餡掛け,8500,2
51,S49,餡掛け,8500,False,S51,猪鹿蝶,8500,2
52,S33,ゴリラ,8500,True,S47,イエズス会,8500,2
53,S47,イエズス会,8500,False,S33,ゴリラ,8500,2
54,S33,不知火,8500,True,S38,紺碧会,8500,2
55,S38,紺碧会,8500,False,S33,不知火,8500,2
56,S6,六文銭,8500,False,S45,卍連合會,8500,2
57,S45,卍連合會,8500,True,S6,六文銭,8500,2
58,S39,真田六文銭,8500,True,S42,鏡花水月,8500,2
59,S42,鏡花水月,8500,False,S39,真田六文銭,8500,2
60,S11,杜鵑,0,-1,0,0,0,0
61,S27,鉄華団,8500,True,S17,覇王,8500,2
62,S49,一騎当千,8500,False,S49,楽天カード万,8500,2
63,S49,楽天カード万,8500,True,S49,一騎当千,8500,2
64,S33,KAME,8000,True,S40,花鳥風月,8000,2
65,S40,花鳥風月,8000,False,S33,KAME,8000,2
66,S23,上杉家,8000,False,S47,天下布武,8000,2
67,S47,天下布武,8000,True,S23,上杉家,8000,2
68,S27,健康一番,8000,True,S21,関東卍會,8000,2
69,S21,関東卍會,8000,False,S27,健康一番,8000,2
70,S10,紫陽花,8000,False,S47,島津連合,8000,2
71,S47,島津連合,8000,True,S10,紫陽花,8000,2
72,S49,足柄幕府,8000,True,S41,破天荒,8000,2
73,S41,破天荒,8000,False,S49,足柄幕府,8000,2
74,S45,聖帝騎馬隊,8000,False,S35,温めますか,8000,2
75,S35,温めますか,8000,True,S45,聖帝騎馬隊,8000,2
76,S35,闘源郷,8000,False,S51,のぼうの城,8000,2
77,S51,のぼうの城,8000,True,S35,闘源郷,8000,2
78,S23,織田一家,8000,True,S33,聖ライス皇国,8000,2
79,S33,聖ライス皇国,8000,False,S23,織田一家,8000,2
80,S13,六分の一殿,7500,True,S27,四国連合,7500,2
81,S27,四国連合,7500,False,S13,六分の一殿,7500,2
82,S23,国士無双,7500,False,S23,じじいの罠,7500,2
83,S23,じじいの罠,7500,True,S23,国士無双,7500,2
84,S7,薩長同盟,7500,False,S2,熊井一家,7500,2
85,S2,熊井一家,7500,True,S7,薩長同盟,7500,2
86,S25,周防国,7500,False,S15,未蘭聖教徒,7500,2
87,S15,未蘭聖教徒,7500,True,S25,周防国,7500,2
88,S4,乃木,7500,False,S23,天下人,7500,2
89,S23,天下人,7500,True,S4,乃木,7500,2
90,S9,豚骨,7500,False,S19,維新の嵐,7500,2
91,S19,維新の嵐,7500,True,S9,豚骨,7500,2
92,S48,新撰組,7500,False,S11,月夜,7500,2
93,S11,月夜,7500,True,S48,新撰組,7500,2
94,S4,天空の花園,0,-1,0,0,0,0
95,S5,六文銭,7500,False,S4,天空の花園,7500,2
96,S31,御伽衆,17000,False,S1,大和政権,7000,2
97,S1,大和政権,7000,True,S31,御伽衆,17000,2
98,S8,くまモン,17000,True,S6,釈迦,7000,2
99,S6,釈迦,7000,False,S8,くまモン,17000,2
100,S7,修羅の国,17000,True,S13,島津の鬼,7000,2
101,S13,島津の鬼,7000,False,S7,修羅の国,17000,2
