,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,30,656.3,2023-05-21
1,1,1,1,30,605.0,2023-05-21
2,2,2,2,30,557.5,2023-05-21
3,3,3,3,30,617.9,2023-05-21
4,4,4,4,30,591.3,2023-05-21
5,5,5,5,30,628.3,2023-05-21
6,6,6,6,30,624.0,2023-05-21
7,7,7,7,30,594.2,2023-05-21
8,8,8,8,30,521.8,2023-05-21
9,9,9,9,30,514.6,2023-05-21
10,10,10,10,30,486.3,2023-05-21
11,11,11,11,29,427.8,2023-05-21
12,12,12,12,28,387.2,2023-05-21
13,13,13,13,21,123.6,2023-05-21
14,14,14,14,30,469.6,2023-05-21
15,15,15,15,29,447.3,2023-05-21
16,16,16,16,29,287.8,2023-05-21
17,17,17,17,30,448.7,2023-05-21
18,18,18,18,30,574.1,2023-05-21
19,19,19,19,30,453.3,2023-05-21
20,20,20,20,14,37.1,2023-05-21
21,21,21,21,30,501.3,2023-05-21
22,22,22,22,30,533.4,2023-05-21
23,23,23,23,29,409.0,2023-05-21
24,24,24,24,28,442.1,2023-05-21
25,25,25,25,30,453.4,2023-05-21
26,26,26,26,30,658.6,2023-05-21
27,27,27,27,26,398.6,2023-05-21
28,28,28,28,30,583.6,2023-05-21
29,29,29,29,30,439.8,2023-05-21
30,30,30,30,29,348.1,2023-05-21
31,31,31,31,30,652.8,2023-05-21
32,32,32,32,30,516.1,2023-05-21
33,33,33,33,30,610.8,2023-05-21
34,34,34,34,27,267.1,2023-05-21
35,35,35,35,30,432.1,2023-05-21
36,36,36,36,30,532.4,2023-05-21
37,37,37,37,27,331.9,2023-05-21
38,38,38,38,29,379.2,2023-05-21
39,39,39,39,30,473.2,2023-05-21
40,40,40,40,30,544.5,2023-05-21
41,41,41,41,15,44.2,2023-05-21
42,42,42,42,28,389.3,2023-05-21
43,43,43,43,30,589.7,2023-05-21
44,44,44,44,30,437.5,2023-05-21
45,45,45,45,26,278.4,2023-05-21
46,46,46,46,27,411.6,2023-05-21
47,47,47,47,28,321.0,2023-05-21
48,48,48,48,29,292.6,2023-05-21
49,49,49,49,30,609.2,2023-05-21
50,50,50,50,29,522.8,2023-05-21
51,51,51,51,26,389.2,2023-05-21
52,52,52,52,27,302.9,2023-05-21
53,53,53,53,25,315.7,2023-05-21
54,54,54,54,29,306.7,2023-05-21
55,55,55,55,30,416.8,2023-05-21
56,56,56,56,27,309.3,2023-05-21
57,57,57,57,29,366.3,2023-05-21
58,58,58,58,17,57.2,2023-05-21
59,59,59,59,26,154.2,2023-05-21
60,60,60,60,29,328.1,2023-05-21
61,61,61,61,30,477.1,2023-05-21
62,62,62,62,27,286.7,2023-05-21
63,63,63,63,26,285.4,2023-05-21
64,64,64,64,26,242.6,2023-05-21
