,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,29,483.3,2023-05-21
1,1,1,1,1,1,30,508.2,2023-05-21
2,2,2,2,2,2,30,449.3,2023-05-21
3,3,3,3,3,3,30,508.6,2023-05-21
4,4,4,4,4,4,29,551.9,2023-05-21
5,5,5,5,5,5,28,433.8,2023-05-21
6,6,6,6,6,6,25,357.2,2023-05-21
7,7,7,7,7,7,28,396.9,2023-05-21
8,8,8,8,8,8,28,384.8,2023-05-21
9,9,9,9,9,9,28,459.2,2023-05-21
10,10,10,10,10,10,28,419.2,2023-05-21
11,11,11,11,11,11,26,387.0,2023-05-21
12,12,12,12,12,12,30,451.8,2023-05-21
13,13,13,13,13,13,30,521.8,2023-05-21
14,14,14,14,14,14,29,418.1,2023-05-21
15,15,15,15,15,15,30,507.6,2023-05-21
16,16,16,16,16,16,29,445.1,2023-05-21
17,17,17,17,17,17,28,425.2,2023-05-21
18,18,18,18,18,18,29,455.9,2023-05-21
19,19,19,19,19,19,28,302.8,2023-05-21
20,20,20,20,20,20,28,374.3,2023-05-21
21,21,21,21,21,21,29,314.9,2023-05-21
22,22,22,22,22,22,30,365.6,2023-05-21
23,23,23,23,23,23,30,484.0,2023-05-21
24,24,24,24,24,24,29,467.2,2023-05-21
25,25,25,25,25,25,29,415.5,2023-05-21
26,26,26,26,26,26,28,417.2,2023-05-21
27,27,27,27,27,27,25,217.4,2023-05-21
28,28,28,28,28,28,28,404.2,2023-05-21
29,29,29,29,29,29,29,333.5,2023-05-21
30,30,30,30,30,30,25,253.0,2023-05-21
31,31,31,31,31,31,30,400.8,2023-05-21
32,32,32,32,32,32,27,235.8,2023-05-21
33,33,33,33,33,33,29,414.4,2023-05-21
34,34,34,34,34,34,29,325.2,2023-05-21
35,35,35,35,35,35,29,343.8,2023-05-21
36,36,36,36,36,36,29,375.2,2023-05-21
37,37,37,37,37,37,30,423.7,2023-05-21
