,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,28,383.3,2023-05-21
1,1,1,1,1,1,1,1,1,1,1,28,404.7,2023-05-21
2,2,2,2,2,2,2,2,2,2,2,27,336.8,2023-05-21
3,3,3,3,3,3,3,3,3,3,3,29,355.8,2023-05-21
4,4,4,4,4,4,4,4,4,4,4,27,362.0,2023-05-21
5,5,5,5,5,5,5,5,5,5,5,27,430.5,2023-05-21
6,6,6,6,6,6,6,6,6,6,6,25,230.1,2023-05-21
7,7,7,7,7,7,7,7,7,7,7,28,232.8,2023-05-21
8,8,8,8,8,8,8,8,8,8,8,25,219.9,2023-05-21
9,9,9,9,9,9,9,9,9,9,9,25,300.6,2023-05-21
10,10,10,10,10,10,10,10,10,10,10,28,294.7,2023-05-21
11,11,11,11,11,11,11,11,11,11,11,26,382.3,2023-05-21
12,12,12,12,12,12,12,12,12,12,12,25,350.6,2023-05-21
13,13,13,13,13,13,13,13,13,13,13,27,419.5,2023-05-21
14,14,14,14,14,14,14,14,14,14,14,26,308.3,2023-05-21
15,15,15,15,15,15,15,15,15,15,15,29,369.7,2023-05-21
16,16,16,16,16,16,16,16,16,16,16,26,338.0,2023-05-21
17,17,17,17,17,17,17,17,17,17,17,21,110.1,2023-05-21
18,18,18,18,18,18,18,18,18,18,18,26,280.0,2023-05-21
19,19,19,19,19,19,19,19,19,19,19,20,119.2,2023-05-21
20,20,20,20,20,20,20,20,20,20,20,26,232.2,2023-05-21
21,21,21,21,21,21,21,21,21,21,21,28,389.0,2023-05-21
22,22,22,22,22,22,22,22,22,22,22,27,353.0,2023-05-21
23,23,23,23,23,23,23,23,23,23,23,24,202.8,2023-05-21
24,24,24,24,24,24,24,24,24,24,24,29,337.3,2023-05-21
25,25,25,25,25,25,25,25,25,25,25,26,264.8,2023-05-21
26,26,26,26,26,26,26,26,26,26,26,27,303.0,2023-05-21
27,27,27,27,27,27,27,27,27,27,27,25,264.6,2023-05-21
28,28,28,28,28,28,28,28,28,28,28,26,296.4,2023-05-21
29,29,29,29,29,29,29,29,29,29,29,25,253.9,2023-05-21
30,30,30,30,30,30,30,30,30,30,30,28,416.2,2023-05-21
31,31,31,31,31,31,31,31,31,31,31,25,178.1,2023-05-21
32,32,32,32,32,32,32,32,32,32,32,24,157.8,2023-05-21
33,33,33,33,33,33,33,33,33,33,33,25,201.2,2023-05-21
34,34,34,34,34,34,34,34,34,34,34,26,302.2,2023-05-21
35,35,35,35,35,35,35,35,35,35,35,25,282.2,2023-05-21
36,36,36,36,36,36,36,36,36,36,36,24,184.6,2023-05-21
37,37,37,37,37,37,37,37,37,37,37,15,38.0,2023-05-21
38,38,38,38,38,38,38,38,38,38,38,26,254.7,2023-05-21
39,39,39,39,39,39,39,39,39,39,39,25,237.8,2023-05-21
40,40,40,40,40,40,40,40,40,40,40,25,161.4,2023-05-21
41,41,41,41,41,41,41,41,41,41,41,25,204.9,2023-05-21
42,42,42,42,42,42,42,42,42,42,42,28,351.3,2023-05-21
43,43,43,43,43,43,43,43,43,43,43,27,263.3,2023-05-21
44,44,44,44,44,44,44,44,44,44,44,28,330.7,2023-05-21
45,45,45,45,45,45,45,45,45,45,45,22,200.7,2023-05-21
46,46,46,46,46,46,46,46,46,46,46,22,96.9,2023-05-21
47,47,47,47,47,47,47,47,47,47,47,27,354.3,2023-05-21
48,48,48,48,48,48,48,48,48,48,48,21,94.7,2023-05-21
49,49,49,49,49,49,49,49,49,49,49,23,209.1,2023-05-21
50,50,50,50,50,50,50,50,50,50,50,26,326.5,2023-05-21
51,51,51,51,51,51,51,51,51,51,51,24,180.6,2023-05-21
52,52,52,52,52,52,52,52,52,52,52,25,183.0,2023-05-21
53,53,53,53,53,53,53,53,53,53,53,24,111.9,2023-05-21
54,54,54,54,54,54,54,54,54,54,54,27,253.0,2023-05-21
55,55,55,55,55,55,55,55,55,55,55,25,164.4,2023-05-21
