,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,14,29.2,2023-05-21
1,1,1,1,1,1,1,1,21,98.1,2023-05-21
2,2,2,2,2,2,2,2,30,536.6,2023-05-21
3,3,3,3,3,3,3,3,30,532.9,2023-05-21
4,4,4,4,4,4,4,4,30,536.8,2023-05-21
5,5,5,5,5,5,5,5,30,525.2,2023-05-21
6,6,6,6,6,6,6,6,30,441.1,2023-05-21
7,7,7,7,7,7,7,7,29,456.5,2023-05-21
8,8,8,8,8,8,8,8,26,403.6,2023-05-21
9,9,9,9,9,9,9,9,25,320.5,2023-05-21
10,10,10,10,10,10,10,10,24,339.4,2023-05-21
11,11,11,11,11,11,11,11,29,362.7,2023-05-21
12,12,12,12,12,12,12,12,29,434.4,2023-05-21
13,13,13,13,13,13,13,13,27,386.6,2023-05-21
14,14,14,14,14,14,14,14,29,513.0,2023-05-21
15,15,15,15,15,15,15,15,29,321.6,2023-05-21
16,16,16,16,16,16,16,16,30,497.3,2023-05-21
17,17,17,17,17,17,17,17,28,358.0,2023-05-21
18,18,18,18,18,18,18,18,30,472.6,2023-05-21
19,19,19,19,19,19,19,19,28,404.9,2023-05-21
20,20,20,20,20,20,20,20,29,367.7,2023-05-21
21,21,21,21,21,21,21,21,29,431.7,2023-05-21
22,22,22,22,22,22,22,22,30,441.4,2023-05-21
23,23,23,23,23,23,23,23,30,510.5,2023-05-21
24,24,24,24,24,24,24,24,26,291.7,2023-05-21
25,25,25,25,25,25,25,25,30,540.2,2023-05-21
26,26,26,26,26,26,26,26,29,451.5,2023-05-21
27,27,27,27,27,27,27,27,30,513.4,2023-05-21
28,28,28,28,28,28,28,28,28,464.5,2023-05-21
29,29,29,29,29,29,29,29,30,530.1,2023-05-21
30,30,30,30,30,30,30,30,30,514.5,2023-05-21
31,31,31,31,31,31,31,31,29,428.3,2023-05-21
32,32,32,32,32,32,32,32,28,431.6,2023-05-21
33,33,33,33,33,33,33,33,28,374.5,2023-05-21
34,34,34,34,34,34,34,34,30,309.8,2023-05-21
35,35,35,35,35,35,35,35,27,439.2,2023-05-21
36,36,36,36,36,36,36,36,29,409.6,2023-05-21
37,37,37,37,37,37,37,37,23,113.7,2023-05-21
38,38,38,38,38,38,38,38,28,447.8,2023-05-21
39,39,39,39,39,39,39,39,25,201.0,2023-05-21
40,40,40,40,40,40,40,40,29,288.5,2023-05-21
41,41,41,41,41,41,41,41,30,443.4,2023-05-21
42,42,42,42,42,42,42,42,28,345.0,2023-05-21
43,43,43,43,43,43,43,43,27,340.4,2023-05-21
44,44,44,44,44,44,44,44,30,481.7,2023-05-21
45,45,45,45,45,45,45,45,25,344.2,2023-05-21
46,46,46,46,46,46,46,46,27,254.7,2023-05-21
47,47,47,47,47,47,47,47,30,416.2,2023-05-21
48,48,48,48,48,48,48,48,28,338.4,2023-05-21
49,49,49,49,49,49,49,49,24,235.7,2023-05-21
50,50,50,50,50,50,50,50,27,388.6,2023-05-21
51,51,51,51,51,51,51,51,25,279.2,2023-05-21
52,52,52,52,52,52,52,52,28,316.9,2023-05-21
53,53,53,53,53,53,53,53,30,439.0,2023-05-21
54,54,54,54,54,54,54,54,26,278.3,2023-05-21
55,55,55,55,55,55,55,55,30,515.0,2023-05-21
