,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,30,515.7,2023-05-21
1,1,1,1,1,1,1,1,1,1,1,30,572.0,2023-05-21
2,2,2,2,2,2,2,2,2,2,2,30,413.0,2023-05-21
3,3,3,3,3,3,3,3,3,3,3,29,431.2,2023-05-21
4,4,4,4,4,4,4,4,4,4,4,27,383.0,2023-05-21
5,5,5,5,5,5,5,5,5,5,5,27,411.4,2023-05-21
6,6,6,6,6,6,6,6,6,6,6,26,248.4,2023-05-21
7,7,7,7,7,7,7,7,7,7,7,27,374.4,2023-05-21
8,8,8,8,8,8,8,8,8,8,8,28,291.2,2023-05-21
9,9,9,9,9,9,9,9,9,9,9,29,424.3,2023-05-21
10,10,10,10,10,10,10,10,10,10,10,27,351.1,2023-05-21
11,11,11,11,11,11,11,11,11,11,11,27,373.0,2023-05-21
12,12,12,12,12,12,12,12,12,12,12,28,450.7,2023-05-21
13,13,13,13,13,13,13,13,13,13,13,30,523.9,2023-05-21
14,14,14,14,14,14,14,14,14,14,14,24,222.9,2023-05-21
15,15,15,15,15,15,15,15,15,15,15,26,297.1,2023-05-21
16,16,16,16,16,16,16,16,16,16,16,29,457.0,2023-05-21
17,17,17,17,17,17,17,17,17,17,17,27,431.3,2023-05-21
18,18,18,18,18,18,18,18,18,18,18,25,278.8,2023-05-21
19,19,19,19,19,19,19,19,19,19,19,27,351.4,2023-05-21
20,20,20,20,20,20,20,20,20,20,20,29,452.5,2023-05-21
21,21,21,21,21,21,21,21,21,21,21,29,356.1,2023-05-21
22,22,22,22,22,22,22,22,22,22,22,30,488.7,2023-05-21
23,23,23,23,23,23,23,23,23,23,23,27,368.8,2023-05-21
24,24,24,24,24,24,24,24,24,24,24,30,470.4,2023-05-21
25,25,25,25,25,25,25,25,25,25,25,26,274.9,2023-05-21
26,26,26,26,26,26,26,26,26,26,26,30,475.5,2023-05-21
27,27,27,27,27,27,27,27,27,27,27,27,304.9,2023-05-21
28,28,28,28,28,28,28,28,28,28,28,26,209.4,2023-05-21
29,29,29,29,29,29,29,29,29,29,29,24,202.5,2023-05-21
30,30,30,30,30,30,30,30,30,30,30,28,252.7,2023-05-21
31,31,31,31,31,31,31,31,31,31,31,25,154.9,2023-05-21
32,32,32,32,32,32,32,32,32,32,32,30,571.6,2023-05-21
33,33,33,33,33,33,33,33,33,33,33,27,312.8,2023-05-21
34,34,34,34,34,34,34,34,34,34,34,29,351.0,2023-05-21
35,35,35,35,35,35,35,35,35,35,35,27,355.1,2023-05-21
36,36,36,36,36,36,36,36,36,36,36,26,335.6,2023-05-21
37,37,37,37,37,37,37,37,37,37,37,27,342.8,2023-05-21
38,38,38,38,38,38,38,38,38,38,38,26,267.2,2023-05-21
39,39,39,39,39,39,39,39,39,39,39,26,258.7,2023-05-21
40,40,40,40,40,40,40,40,40,40,40,25,238.7,2023-05-21
41,41,41,41,41,41,41,41,41,41,41,27,295.8,2023-05-21
42,42,42,42,42,42,42,42,42,42,42,26,263.6,2023-05-21
43,43,43,43,43,43,43,43,43,43,43,25,241.4,2023-05-21
44,44,44,44,44,44,44,44,44,44,44,22,150.0,2023-05-21
45,45,45,45,45,45,45,45,45,45,45,22,184.2,2023-05-21
46,46,46,46,46,46,46,46,46,46,46,22,124.7,2023-05-21
47,47,47,47,47,47,47,47,47,47,47,24,178.5,2023-05-21
48,48,48,48,48,48,48,48,48,48,48,25,81.1,2023-05-21
49,49,49,49,49,49,49,49,49,49,49,26,199.3,2023-05-21
50,50,50,50,50,50,50,50,50,50,50,25,164.5,2023-05-21
