,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,29,310.7,2023-05-18
1,1,1,1,26,278.3,2023-05-18
2,2,2,2,28,328.3,2023-05-18
3,3,3,3,27,258.1,2023-05-18
4,4,4,4,28,359.6,2023-05-18
5,5,5,5,28,294.9,2023-05-18
6,6,6,6,26,276.3,2023-05-18
7,7,7,7,20,132.7,2023-05-18
8,8,8,8,27,292.6,2023-05-18
9,9,9,9,16,32.2,2023-05-18
10,10,10,10,27,272.6,2023-05-18
11,11,11,11,27,277.2,2023-05-18
12,12,12,12,25,185.2,2023-05-18
13,13,13,13,26,296.8,2023-05-18
14,14,14,14,28,299.2,2023-05-18
15,15,15,15,23,207.9,2023-05-18
16,16,16,16,22,147.2,2023-05-18
17,17,17,17,27,326.0,2023-05-18
18,18,18,18,25,258.7,2023-05-18
19,19,19,19,24,232.5,2023-05-18
20,20,20,20,23,178.5,2023-05-18
21,21,21,21,27,240.2,2023-05-18
22,22,22,22,25,191.6,2023-05-18
23,23,23,23,23,163.1,2023-05-18
24,24,24,24,23,186.2,2023-05-18
25,25,25,25,15,19.5,2023-05-18
26,26,26,26,22,88.6,2023-05-18
27,27,27,27,24,136.8,2023-05-18
28,28,28,28,20,96.8,2023-05-18
29,29,29,29,18,47.7,2023-05-18
30,30,30,30,25,195.3,2023-05-18
31,31,31,31,25,176.8,2023-05-18
32,32,32,32,25,142.9,2023-05-18
33,33,33,33,21,75.6,2023-05-18
34,34,34,34,22,110.6,2023-05-18
35,35,35,35,21,174.9,2023-05-18
36,36,36,36,9,5.5,2023-05-18
37,37,37,37,21,138.3,2023-05-18
38,38,38,38,21,66.3,2023-05-18
39,39,39,39,21,108.5,2023-05-18
40,40,40,40,22,100.8,2023-05-18
41,41,41,41,24,135.3,2023-05-18
42,42,42,42,18,37.2,2023-05-18
43,43,43,43,22,92.5,2023-05-18
44,44,44,44,19,52.8,2023-05-18
45,45,45,45,16,38.8,2023-05-18
46,46,46,46,20,90.3,2023-05-18
47,47,47,47,18,60.7,2023-05-18
48,48,48,48,17,65.5,2023-05-18
49,49,49,49,18,78.3,2023-05-18
50,50,50,50,17,54.2,2023-05-18
51,51,51,51,14,36.6,2023-05-18
52,52,52,52,17,46.6,2023-05-18
53,53,53,53,14,35.5,2023-05-18
54,54,54,54,18,67.7,2023-05-18
55,55,55,55,18,59.1,2023-05-18
