level,power
30,657.8
30,630.7
30,539.1
30,535.1
30,661.3
30,742.7
30,716.6
30,643.9
30,635
30,569.2
30,527.6
30,511.4
30,501.2
30,419
30,576.4
30,454.7
30,608.9
30,405
30,682.3
30,635.6
30,649.9
29,404.6
30,649.4
28,415.4
30,488.5
30,496.9
27,363.1
30,592
30,504.3
29,469.7
30,499.5
28,398.7
27,359.6
30,669.3
30,450.3
30,534.9
30,501.6
30,627.2
30,640.4
30,649.9
28,441.9
30,582.9
26,326.6
30,499.9
30,560.5
30,559.8
30,487.4
30,447.2
30,556.3
28,385
29,354.3
30,550.9
30,535.8
30,588.3
30,473.3
30,342.3
30,594.3
30,439.7
30,521.8
30,566.1
30,507.2
30,639.9
29,420
30,520.4
27,364.8
30,366.8
28,346.7
30,463.1
30,454
28,289.3
