level,power
30,470.2
30,723.6
30,531.1
30,573.2
30,640.6
30,670.2
30,606.4
30,583.9
30,487.1
30,421.1
29,517.8
29,405.9
28,433
28,344.7
26,295.3
18,80.9
30,575
29,419.4
30,473.7
29,387
30,462.6
27,484.6
30,424.9
30,586.8
30,546.4
28,332.8
29,400
30,483
29,382.1
30,586.9
30,467
30,484.4
30,502.3
30,541.7
27,431.3
29,462.9
29,504.1
30,513
28,476.4
29,415.7
29,395.7
27,421.7
30,395.4
30,475.6
30,506.4
29,446.3
28,458.3
29,426.6
27,360.8
29,429.7
29,352.9
29,402.5
27,250.6
27,325.9
28,392.7
29,378.3
30,459.9
29,392.6
30,427.7
29,305.3
27,377
30,542.7
18,43.6
30,421
30,376.2
30,470.9
