level,power
30,510.3
30,582.2
30,568.2
30,614
29,466.4
30,589.8
30,552.7
30,551.4
30,548.4
29,362.2
29,354
28,505.6
28,443.2
28,287.7
27,370.7
30,552
30,528
30,449.6
30,570.7
25,320.4
30,384.3
30,634.9
30,417.1
30,513.2
30,556
30,469.7
30,563.7
29,491.4
2,145.6
28,379.3
30,576
28,299.9
30,465.6
29,433.8
30,587.5
28,288.5
26,358.7
26,318.3
28,327.4
29,383.9
30,517.7
29,390.6
26,255.3
26,253.3
2,12.2
24,176.4
25,306.9
30,441.1
30,517.5
24,188.8
29,367.2
29,351.1
26,288.9
27,380.2
29,354.1
30,644.8
