level,power
30,559.7
30,531
30,592.5
29,438.6
29,387
30,577.8
30,572.8
30,561.3
30,554.2
30,515.8
30,510.9
30,494.4
30,482.9
30,430.2
30,412.2
29,446.1
28,346.3
30,590.3
28,358.7
27,387.6
30,630.1
30,513.7
30,477.9
29,436.3
30,566.6
30,525.9
29,359.5
30,558.5
29,486.6
30,450.6
25,277.7
29,351.4
28,391.7
30,569.3
25,343.1
30,485.4
28,439.8
29,344.1
30,596.5
30,537.6
30,479.3
30,486.6
30,481.9
30,516.3
30,410.8
28,332
30,474.3
30,477.2
30,432.4
30,484.9
30,562.1
27,342.5
30,510.6
30,451.5
28,352.7
30,493.2
30,512.9
30,377.6
30,515.7
27,5
28,304.2
27,281.9
30,448.6
25,331.7
