level,power
30,633.7
30,545.6
30,660.2
30,545.2
30,645.6
30,607.1
30,480.8
30,479.5
30,418.2
30,390.9
29,353.6
28,408.7
27,497.1
26,281
26,381.7
28,486.6
27,482.5
28,449.9
30,597.4
25,314.4
30,509.6
30,441.7
27,385.4
27,339.6
26,319.4
29,338.1
30,391.5
30,630.2
30,543.8
30,563.5
30,566.3
29,406.9
30,474.9
27,200.8
29,439.3
30,492
27,405.4
26,327.7
30,479.7
26,250.2
28,365.3
30,438.8
27,287.6
25,303.6
26,311.3
30,508
30,452
29,354.8
30,470.5
29,398.9
24,232.5
27,387.8
26,251.2
30,646.9
24,250.5
29,355.4
26,252.1
23,175.2
26,210.3
28,273.9
30,565.3
26,333.3
25,304.4
