,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,30,651.2,2023-05-22
1,1,1,1,1,1,1,30,657.5,2023-05-22
2,2,2,2,2,2,2,30,564.5,2023-05-22
3,3,3,3,3,3,3,30,569.9,2023-05-22
4,4,4,4,4,4,4,30,604.4,2023-05-22
5,5,5,5,5,5,5,30,689.2,2023-05-22
6,6,6,6,6,6,6,30,651.6,2023-05-22
7,7,7,7,7,7,7,30,553.8,2023-05-22
8,8,8,8,8,8,8,30,487.5,2023-05-22
9,9,9,9,9,9,9,30,457.4,2023-05-22
10,10,10,10,10,10,10,30,430.2,2023-05-22
11,11,11,11,11,11,11,30,606.2,2023-05-22
12,12,12,12,12,12,12,30,625.7,2023-05-22
13,13,13,13,13,13,13,27,455.9,2023-05-22
14,14,14,14,14,14,14,30,574.6,2023-05-22
15,15,15,15,15,15,15,30,508.9,2023-05-22
16,16,16,16,16,16,16,29,444.0,2023-05-22
17,17,17,17,17,17,17,30,538.3,2023-05-22
18,18,18,18,18,18,18,28,303.9,2023-05-22
19,19,19,19,19,19,19,30,732.2,2023-05-22
20,20,20,20,20,20,20,30,503.6,2023-05-22
21,21,21,21,21,21,21,26,326.3,2023-05-22
22,22,22,22,22,22,22,30,387.4,2023-05-22
23,23,23,23,23,23,23,30,576.2,2023-05-22
24,24,24,24,24,24,24,28,346.1,2023-05-22
25,25,25,25,25,25,25,30,500.9,2023-05-22
26,26,26,26,26,26,26,27,333.9,2023-05-22
27,27,27,27,27,27,27,30,632.6,2023-05-22
28,28,28,28,28,28,28,21,81.4,2023-05-22
29,29,29,29,29,29,29,28,418.3,2023-05-22
30,30,30,30,30,30,30,29,397.1,2023-05-22
31,31,31,31,31,31,31,28,305.8,2023-05-22
32,32,32,32,32,32,32,26,328.2,2023-05-22
33,33,33,33,33,33,33,30,554.2,2023-05-22
34,34,34,34,34,34,34,29,410.6,2023-05-22
35,35,35,35,35,35,35,30,359.1,2023-05-22
36,36,36,36,36,36,36,27,307.6,2023-05-22
37,37,37,37,37,37,37,30,401.2,2023-05-22
38,38,38,38,38,38,38,30,362.9,2023-05-22
39,39,39,39,39,39,39,25,330.8,2023-05-22
40,40,40,40,40,40,40,29,402.6,2023-05-22
41,41,41,41,41,41,41,29,403.1,2023-05-22
42,42,42,42,42,42,42,30,590.5,2023-05-22
43,43,43,43,43,43,43,30,459.1,2023-05-22
44,44,44,44,44,44,44,26,301.2,2023-05-22
45,45,45,45,45,45,45,30,595.7,2023-05-22
46,46,46,46,46,46,46,25,203.2,2023-05-22
47,47,47,47,47,47,47,30,478.8,2023-05-22
48,48,48,48,48,48,48,23,188.9,2023-05-22
49,49,49,49,49,49,49,30,508.5,2023-05-22
50,50,50,50,50,50,50,28,385.2,2023-05-22
51,51,51,51,51,51,51,29,434.2,2023-05-22
52,52,52,52,52,52,52,26,288.5,2023-05-22
53,53,53,53,53,53,53,29,349.6,2023-05-22
54,54,54,54,54,54,54,27,344.3,2023-05-22
55,55,55,55,55,55,55,29,435.1,2023-05-22
56,56,56,56,56,56,56,28,286.1,2023-05-22
57,57,57,57,57,57,57,30,456.9,2023-05-22
58,58,58,58,58,58,58,28,249.4,2023-05-22
59,59,59,59,59,59,59,29,379.6,2023-05-22
60,60,60,60,60,60,60,30,490.1,2023-05-22
