,Unnamed: 0,level,power,date
0,0,25,192.0,2023-05-26
1,1,27,279.2,2023-05-26
2,2,24,167.7,2023-05-26
3,3,27,246.2,2023-05-26
4,4,27,255.3,2023-05-26
5,5,26,209.9,2023-05-26
6,6,26,178.4,2023-05-26
7,7,24,162.0,2023-05-26
8,8,24,128.5,2023-05-26
9,9,22,109.8,2023-05-26
10,10,22,160.9,2023-05-26
11,11,21,125.6,2023-05-26
12,12,24,147.9,2023-05-26
13,13,22,136.1,2023-05-26
14,14,22,134.8,2023-05-26
15,15,22,123.4,2023-05-26
16,16,20,135.5,2023-05-26
17,17,24,185.6,2023-05-26
18,18,23,124.1,2023-05-26
19,19,20,111.8,2023-05-26
20,20,24,172.0,2023-05-26
21,21,23,140.7,2023-05-26
22,22,26,200.7,2023-05-26
23,23,24,158.7,2023-05-26
24,24,23,148.0,2023-05-26
25,25,21,182.6,2023-05-26
26,26,22,136.9,2023-05-26
27,27,22,122.3,2023-05-26
28,28,22,135.4,2023-05-26
29,29,24,179.5,2023-05-26
30,30,22,139.1,2023-05-26
31,31,18,108.1,2023-05-26
32,32,23,138.5,2023-05-26
33,33,22,116.6,2023-05-26
34,34,23,160.5,2023-05-26
35,35,22,121.4,2023-05-26
36,36,24,145.1,2023-05-26
37,37,21,134.7,2023-05-26
38,38,19,79.0,2023-05-26
39,39,24,182.5,2023-05-26
40,40,20,76.8,2023-05-26
41,41,23,146.2,2023-05-26
42,42,24,215.2,2023-05-26
43,43,21,138.9,2023-05-26
44,44,23,148.9,2023-05-26
45,45,24,156.2,2023-05-26
46,46,25,171.5,2023-05-26
47,47,23,130.8,2023-05-26
48,48,22,111.9,2023-05-26
49,49,21,158.9,2023-05-26
50,50,21,94.2,2023-05-26
51,51,22,127.8,2023-05-26
52,52,19,90.9,2023-05-26
53,53,21,127.7,2023-05-26
54,54,20,119.7,2023-05-26
55,55,21,94.9,2023-05-26
56,56,19,87.8,2023-05-26
57,57,23,157.0,2023-05-26
58,58,19,124.4,2023-05-26
59,59,20,107.9,2023-05-26
60,60,21,86.7,2023-05-26
61,61,18,66.6,2023-05-26
62,62,24,207.5,2023-05-26
