,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,30,527.1,2023-05-26
1,1,1,30,446.3,2023-05-26
2,2,2,28,331.6,2023-05-26
3,3,3,30,429.6,2023-05-26
4,4,4,29,413.0,2023-05-26
5,5,5,30,460.5,2023-05-26
6,6,6,29,390.0,2023-05-26
7,7,7,29,380.1,2023-05-26
8,8,8,29,350.9,2023-05-26
9,9,9,28,365.6,2023-05-26
10,10,10,28,353.0,2023-05-26
11,11,11,28,321.0,2023-05-26
12,12,12,28,298.3,2023-05-26
13,13,13,27,353.5,2023-05-26
14,14,14,27,328.3,2023-05-26
15,15,15,27,311.3,2023-05-26
16,16,16,27,303.6,2023-05-26
17,17,17,27,286.4,2023-05-26
18,18,18,27,281.5,2023-05-26
19,19,19,26,294.4,2023-05-26
20,20,20,26,277.7,2023-05-26
21,21,21,26,274.4,2023-05-26
22,22,22,26,241.3,2023-05-26
23,23,23,24,274.7,2023-05-26
24,24,24,27,314.9,2023-05-26
25,25,25,27,252.1,2023-05-26
26,26,26,27,336.9,2023-05-26
27,27,27,27,304.7,2023-05-26
28,28,28,27,280.8,2023-05-26
29,29,29,29,324.5,2023-05-26
30,30,30,27,304.9,2023-05-26
31,31,31,26,292.6,2023-05-26
32,32,32,24,248.9,2023-05-26
33,33,33,26,340.9,2023-05-26
34,34,34,29,417.5,2023-05-26
35,35,35,27,335.4,2023-05-26
36,36,36,29,329.5,2023-05-26
37,37,37,29,343.4,2023-05-26
38,38,38,29,371.4,2023-05-26
39,39,39,29,363.8,2023-05-26
40,40,40,26,201.6,2023-05-26
41,41,41,27,351.3,2023-05-26
42,42,42,29,374.5,2023-05-26
43,43,43,18,57.0,2023-05-26
44,44,44,25,280.3,2023-05-26
45,45,45,27,216.4,2023-05-26
46,46,46,28,308.1,2023-05-26
47,47,47,25,286.3,2023-05-26
48,48,48,25,273.7,2023-05-26
49,49,49,29,345.5,2023-05-26
50,50,50,26,272.1,2023-05-26
51,51,51,28,325.1,2023-05-26
52,52,52,30,400.2,2023-05-26
53,53,53,27,262.3,2023-05-26
54,54,54,27,312.2,2023-05-26
55,55,55,27,298.8,2023-05-26
56,56,56,25,174.8,2023-05-26
57,57,57,26,250.7,2023-05-26
58,58,58,27,256.5,2023-05-26
59,59,59,24,225.4,2023-05-26
60,60,60,27,236.6,2023-05-26
61,61,61,26,235.6,2023-05-26
62,62,62,29,398.2,2023-05-26
63,63,63,28,294.0,2023-05-26
64,64,64,25,198.9,2023-05-26
