,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,30,603.3,2023-05-21
1,1,1,1,30,706.2,2023-05-21
2,2,2,2,30,621.6,2023-05-21
3,3,3,3,30,616.9,2023-05-21
4,4,4,4,30,580.3,2023-05-21
5,5,5,5,30,462.1,2023-05-21
6,6,6,6,28,372.5,2023-05-21
7,7,7,7,29,426.9,2023-05-21
8,8,8,8,20,119.4,2023-05-21
9,9,9,9,16,39.2,2023-05-21
10,10,10,10,30,467.2,2023-05-21
11,11,11,11,30,519.6,2023-05-21
12,12,12,12,30,661.5,2023-05-21
13,13,13,13,30,498.7,2023-05-21
14,14,14,14,30,509.4,2023-05-21
15,15,15,15,28,316.2,2023-05-21
16,16,16,16,30,471.2,2023-05-21
17,17,17,17,29,328.8,2023-05-21
18,18,18,18,28,432.1,2023-05-21
19,19,19,19,29,426.4,2023-05-21
20,20,20,20,20,127.1,2023-05-21
21,21,21,21,27,256.5,2023-05-21
22,22,22,22,30,384.2,2023-05-21
23,23,23,23,25,269.2,2023-05-21
24,24,24,24,29,331.4,2023-05-21
25,25,25,25,25,319.6,2023-05-21
26,26,26,26,30,430.6,2023-05-21
27,27,27,27,24,238.6,2023-05-21
28,28,28,28,30,477.9,2023-05-21
29,29,29,29,25,241.6,2023-05-21
30,30,30,30,27,301.6,2023-05-21
31,31,31,31,30,665.2,2023-05-21
32,32,32,32,26,191.0,2023-05-21
33,33,33,33,28,438.6,2023-05-21
34,34,34,34,30,426.6,2023-05-21
35,35,35,35,24,401.3,2023-05-21
36,36,36,36,29,375.2,2023-05-21
37,37,37,37,30,383.8,2023-05-21
38,38,38,38,30,350.7,2023-05-21
39,39,39,39,30,504.6,2023-05-21
40,40,40,40,30,551.5,2023-05-21
41,41,41,41,30,373.4,2023-05-21
42,42,42,42,24,123.2,2023-05-21
