,Unnamed: 0,level,power,date
0,0,30,476.3,2023-05-26
1,1,30,653.4,2023-05-26
2,2,30,597.7,2023-05-26
3,3,30,502.8,2023-05-26
4,4,30,566.6,2023-05-26
5,5,30,663.0,2023-05-26
6,6,30,601.8,2023-05-26
7,7,30,578.9,2023-05-26
8,8,30,559.7,2023-05-26
9,9,30,555.2,2023-05-26
10,10,30,527.2,2023-05-26
11,11,30,517.6,2023-05-26
12,12,30,493.2,2023-05-26
13,13,30,491.7,2023-05-26
14,14,30,489.9,2023-05-26
15,15,30,465.9,2023-05-26
16,16,29,381.2,2023-05-26
17,17,28,282.7,2023-05-26
18,18,27,355.4,2023-05-26
19,19,30,459.0,2023-05-26
20,20,29,492.4,2023-05-26
21,21,28,278.6,2023-05-26
22,22,29,424.2,2023-05-26
23,23,28,261.5,2023-05-26
24,24,27,270.0,2023-05-26
25,25,29,431.3,2023-05-26
26,26,30,535.5,2023-05-26
27,27,30,499.4,2023-05-26
28,28,28,365.1,2023-05-26
29,29,29,445.0,2023-05-26
30,30,30,469.0,2023-05-26
31,31,30,660.2,2023-05-26
32,32,30,544.9,2023-05-26
33,33,30,439.3,2023-05-26
34,34,30,455.2,2023-05-26
35,35,29,408.3,2023-05-26
36,36,29,468.4,2023-05-26
37,37,30,492.5,2023-05-26
38,38,26,336.2,2023-05-26
39,39,27,272.6,2023-05-26
40,40,30,432.7,2023-05-26
41,41,25,300.5,2023-05-26
42,42,26,426.8,2023-05-26
43,43,28,373.9,2023-05-26
44,44,26,290.9,2023-05-26
45,45,29,374.5,2023-05-26
46,46,30,539.8,2023-05-26
47,47,19,147.2,2023-05-26
48,48,27,245.4,2023-05-26
49,49,29,384.1,2023-05-26
50,50,23,146.4,2023-05-26
51,51,29,408.4,2023-05-26
52,52,27,357.4,2023-05-26
53,53,20,88.2,2023-05-26
54,54,28,331.0,2023-05-26
55,55,26,208.2,2023-05-26
56,56,28,390.3,2023-05-26
57,57,24,225.0,2023-05-26
58,58,26,205.3,2023-05-26
