,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,30,594.7,2023-05-21
1,1,1,1,30,730.2,2023-05-21
2,2,2,2,30,676.4,2023-05-21
3,3,3,3,30,415.4,2023-05-21
4,4,4,4,30,576.4,2023-05-21
5,5,5,5,30,603.4,2023-05-21
6,6,6,6,30,585.2,2023-05-21
7,7,7,7,30,568.9,2023-05-21
8,8,8,8,28,465.9,2023-05-21
9,9,9,9,30,414.9,2023-05-21
10,10,10,10,28,444.3,2023-05-21
11,11,11,11,29,457.8,2023-05-21
12,12,12,12,30,475.8,2023-05-21
13,13,13,13,30,381.5,2023-05-21
14,14,14,14,29,469.9,2023-05-21
15,15,15,15,30,547.0,2023-05-21
16,16,16,16,29,399.9,2023-05-21
17,17,17,17,30,503.4,2023-05-21
18,18,18,18,28,372.5,2023-05-21
19,19,19,19,30,523.8,2023-05-21
20,20,20,20,24,203.9,2023-05-21
21,21,21,21,30,509.0,2023-05-21
22,22,22,22,30,627.4,2023-05-21
23,23,23,23,30,588.1,2023-05-21
24,24,24,24,30,598.8,2023-05-21
25,25,25,25,30,543.3,2023-05-21
26,26,26,26,27,371.3,2023-05-21
27,27,27,27,28,287.0,2023-05-21
28,28,28,28,24,248.7,2023-05-21
29,29,29,29,30,460.2,2023-05-21
30,30,30,30,28,438.8,2023-05-21
31,31,31,31,30,557.6,2023-05-21
32,32,32,32,30,508.4,2023-05-21
33,33,33,33,30,532.3,2023-05-21
34,34,34,34,28,463.2,2023-05-21
35,35,35,35,30,496.5,2023-05-21
36,36,36,36,27,292.9,2023-05-21
37,37,37,37,29,460.4,2023-05-21
38,38,38,38,30,515.7,2023-05-21
39,39,39,39,30,666.5,2023-05-21
40,40,40,40,27,324.4,2023-05-21
41,41,41,41,30,430.6,2023-05-21
42,42,42,42,29,394.1,2023-05-21
43,43,43,43,30,407.9,2023-05-21
44,44,44,44,30,554.2,2023-05-21
45,45,45,45,29,485.2,2023-05-21
46,46,46,46,29,422.2,2023-05-21
47,47,47,47,29,421.1,2023-05-21
48,48,48,48,25,212.8,2023-05-21
49,49,49,49,28,336.1,2023-05-21
50,50,50,50,30,533.3,2023-05-21
51,51,51,51,30,507.5,2023-05-21
52,52,52,52,27,393.3,2023-05-21
53,53,53,53,27,333.8,2023-05-21
54,54,54,54,26,304.7,2023-05-21
55,55,55,55,27,383.7,2023-05-21
56,56,56,56,27,304.9,2023-05-21
57,57,57,57,24,179.5,2023-05-21
58,58,58,58,25,310.9,2023-05-21
59,59,59,59,27,353.1,2023-05-21
60,60,60,60,29,366.3,2023-05-21
61,61,61,61,29,415.1,2023-05-21
62,62,62,62,30,466.4,2023-05-21
63,63,63,63,27,249.1,2023-05-21
64,64,64,64,29,320.7,2023-05-21
65,65,65,65,22,151.2,2023-05-21
66,66,66,66,30,614.5,2023-05-21
67,67,67,67,30,595.2,2023-05-21
