,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,30,435.6,2023-06-02
1,1,1,1,1,1,1,30,447.6,2023-06-02
2,2,2,2,2,2,2,30,471.5,2023-06-02
3,3,3,3,3,3,3,30,469.4,2023-06-02
4,4,4,4,4,4,4,30,534.7,2023-06-02
5,5,5,5,5,5,5,30,533.9,2023-06-02
6,6,6,6,6,6,6,30,506.7,2023-06-02
7,7,7,7,7,7,7,30,489.2,2023-06-02
8,8,8,8,8,8,8,30,410.8,2023-06-02
9,9,9,9,9,9,9,29,352.0,2023-06-02
10,10,10,10,10,10,10,24,330.3,2023-06-02
11,11,11,11,11,11,11,30,455.1,2023-06-02
12,12,12,12,12,12,12,24,220.3,2023-06-02
13,13,13,13,13,13,13,28,407.0,2023-06-02
14,14,14,14,14,14,14,30,418.5,2023-06-02
15,15,15,15,15,15,15,27,420.2,2023-06-02
16,16,16,16,16,16,16,29,411.9,2023-06-02
17,17,17,17,17,17,17,25,378.6,2023-06-02
18,18,18,18,18,18,18,22,198.1,2023-06-02
19,19,19,19,19,19,19,30,463.5,2023-06-02
20,20,20,20,20,20,20,30,459.1,2023-06-02
21,21,21,21,21,21,21,26,258.0,2023-06-02
22,22,22,22,22,22,22,30,550.3,2023-06-02
23,23,23,23,23,23,23,25,387.9,2023-06-02
24,24,24,24,24,24,24,25,316.8,2023-06-02
25,25,25,25,25,25,25,28,335.8,2023-06-02
26,26,26,26,26,26,26,29,406.1,2023-06-02
27,27,27,27,27,27,27,30,450.5,2023-06-02
28,28,28,28,28,28,28,30,502.2,2023-06-02
29,29,29,29,29,29,29,24,314.9,2023-06-02
30,30,30,30,30,30,30,27,334.1,2023-06-02
31,31,31,31,31,31,31,27,388.0,2023-06-02
32,32,32,32,32,32,32,29,391.2,2023-06-02
33,33,33,33,33,33,33,28,304.1,2023-06-02
34,34,34,34,34,34,34,28,447.8,2023-06-02
35,35,35,35,35,35,35,28,302.7,2023-06-02
36,36,36,36,36,36,36,28,349.9,2023-06-02
37,37,37,37,37,37,37,29,398.0,2023-06-02
38,38,38,38,38,38,38,29,393.0,2023-06-02
39,39,39,39,39,39,39,26,326.1,2023-06-02
40,40,40,40,40,40,40,25,273.3,2023-06-02
41,41,41,41,41,41,41,27,247.4,2023-06-02
42,42,42,42,42,42,42,24,336.1,2023-06-02
43,43,43,43,43,43,43,27,307.5,2023-06-02
44,44,44,44,44,44,44,26,319.2,2023-06-02
45,45,45,45,45,45,45,27,381.5,2023-06-02
46,46,46,46,46,46,46,26,173.3,2023-06-02
47,47,47,47,47,47,47,28,254.9,2023-06-02
48,48,48,48,48,48,48,26,288.2,2023-06-02
49,49,49,49,49,49,49,30,616.8,2023-06-02
50,50,50,50,50,50,50,27,228.3,2023-06-02
51,51,51,51,51,51,51,30,582.1,2023-06-02
52,52,52,52,52,52,52,25,338.5,2023-06-02
53,53,53,53,53,53,53,30,362.8,2023-06-02
54,54,54,54,54,54,54,25,178.5,2023-06-02
55,55,55,55,55,55,55,22,97.8,2023-06-02
56,56,56,56,56,56,56,25,300.7,2023-06-02
57,57,57,57,57,57,57,26,208.3,2023-06-02
58,58,58,58,58,58,58,26,244.0,2023-06-02
59,59,59,59,59,59,59,25,342.7,2023-06-02
60,60,60,60,60,60,60,27,256.3,2023-06-02
