,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,30,663.0,2023-06-02
1,1,1,1,1,1,1,30,582.8,2023-06-02
2,2,2,2,2,2,2,30,615.3,2023-06-02
3,3,3,3,3,3,3,30,552.1,2023-06-02
4,4,4,4,4,4,4,30,531.0,2023-06-02
5,5,5,5,5,5,5,30,699.5,2023-06-02
6,6,6,6,6,6,6,28,427.6,2023-06-02
7,7,7,7,7,7,7,21,142.3,2023-06-02
8,8,8,8,8,8,8,30,409.4,2023-06-02
9,9,9,9,9,9,9,27,217.3,2023-06-02
10,10,10,10,10,10,10,30,573.1,2023-06-02
11,11,11,11,11,11,11,30,639.5,2023-06-02
12,12,12,12,12,12,12,25,224.1,2023-06-02
13,13,13,13,13,13,13,30,587.5,2023-06-02
14,14,14,14,14,14,14,28,305.1,2023-06-02
15,15,15,15,15,15,15,27,351.3,2023-06-02
16,16,16,16,16,16,16,29,368.2,2023-06-02
17,17,17,17,17,17,17,29,346.2,2023-06-02
18,18,18,18,18,18,18,26,339.4,2023-06-02
19,19,19,19,19,19,19,30,629.5,2023-06-02
20,20,20,20,20,20,20,30,646.7,2023-06-02
21,21,21,21,21,21,21,30,540.7,2023-06-02
22,22,22,22,22,22,22,30,543.0,2023-06-02
23,23,23,23,23,23,23,29,429.2,2023-06-02
24,24,24,24,24,24,24,28,288.5,2023-06-02
25,25,25,25,25,25,25,30,468.8,2023-06-02
26,26,26,26,26,26,26,30,502.5,2023-06-02
27,27,27,27,27,27,27,30,568.2,2023-06-02
28,28,28,28,28,28,28,30,545.5,2023-06-02
29,29,29,29,29,29,29,27,259.6,2023-06-02
30,30,30,30,30,30,30,27,227.1,2023-06-02
31,31,31,31,31,31,31,27,241.3,2023-06-02
32,32,32,32,32,32,32,30,356.8,2023-06-02
33,33,33,33,33,33,33,30,689.1,2023-06-02
34,34,34,34,34,34,34,28,330.7,2023-06-02
35,35,35,35,35,35,35,29,388.2,2023-06-02
36,36,36,36,36,36,36,27,280.5,2023-06-02
37,37,37,37,37,37,37,26,233.6,2023-06-02
38,38,38,38,38,38,38,27,392.5,2023-06-02
39,39,39,39,39,39,39,27,186.1,2023-06-02
40,40,40,40,40,40,40,24,160.4,2023-06-02
41,41,41,41,41,41,41,25,204.9,2023-06-02
42,42,42,42,42,42,42,29,339.0,2023-06-02
43,43,43,43,43,43,43,29,334.6,2023-06-02
